"","Redshift_crosscheck","T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","Gamma","log10Fa","log10Ta","Alpha","Beta","log10TaErr","BetaErr","AlphaErr","T90Err","FluenceErr","PeakFluxErr","PhotonIndexErr","log10FaErr"
"GRB060908",1.8836,19.3,-5.552841969,0.481442629,1,21.80952201,2.13395,-9.627087997,2.81918,1.38309,1.185,0.05993,0.0034749535,0.04964,1.33033529343473,6.72727272727273e-08,0.151515151515152,0.1818181818,0.045185
"GRB060926",3.2,8,-6.659555885,0.037426498,2.54,22.50004427,2.00443,-10.84771166,3.351,1.45111,1.357,0.09927,0.009157091,0.11561,1.21267967741496,1.51515151515152e-08,0.0848484848484849,0.139393939393939,0.0824499999999997
"GRB060927",5.47,22.5,-5.946921557,0.431363764,0.9,22.10710478,1.94856,-10.77728353,3.15198,1.39098,0.83,0.108435,0.178498106,0.118785,1.29427663430184,4.12121212121212e-08,0.103030303030303,0.2424242424,0.0811500000000001
"GRB061021",0.3463,46.2,-5.528708289,0.78604121,1.3,20.87141063,1.99282,-10.04095861,3.23849,1.01707,0.785,0.03399,0.0168000365,0.010415,5.39883246764966,6.12121212121212e-08,0.163636363636364,0.0363636363636364,0.0263999999999998
"GRB061121",1.314,81.3,-4.863279433,1.324282455,1.41,21.75351565,1.90181,-10.03011836,3.78753,1.35185,0.9485,0.01703,0.0023582105,0.0158499999999999,46.1274845779442,1.20606060606061e-07,0.278787878787879,0.0181818181818182,0.0126499999999998
"GRB061201",0.111,0.76,-6.476253533,0.586587305,0.81,21.16656331,1.65934,-10.4134127,3.49343,1.98937,0.145,0.093885,0.061048094,0.169505,0.0989545476206747,1.63636363636364e-08,0.187878787878788,0.0909090909090909,0.0936499999999993
"GRB070110",2.352,88.4,-5.790484985,-0.22184875,1.58,21.3989672,2.08596,-11.04866248,4.26825,1.42725,1.186,0.053995,0.1216678795,0.046555,14.4780330174947,6.54545454545455e-08,0.0727272727272727,0.0727272727272727,0.0547500000000003
"GRB070208",1.165,47.7,-6.351639989,-0.045757491,1.94,21.8647258,2.20341,-10.86327943,3.44468,1.2125,1.14,0.14114,0.015,0.06357,22.6274169979695,6.12121212121212e-08,0.133333333333333,0.218181818181818,0.161899999999999
"GRB070223",1.6295,88.5,-5.769551079,-0.161150909,1.85,21.70173804,2.25837,-11.86327943,4.22335,0.991734,1.03,0.203105,0.06,0.079308,8.08530616043297,7.27272727272727e-08,0.0909090909090909,0.0727272727272727,0.16615
"GRB070306",1.4959,209.5,-5.269217724,0.609594409,1.66,22.44245468,1.94468,-11.2737,4.86926,1.89982,0.831,0.02824,0.000999999999999994,0.06188,64.7675716279367,1.73333333333333e-07,0.127272727272727,0.0606060606060606,0.0335000000000001
"GRB070508",0.82,20.9,-4.707743929,1.382017043,1.1,21.89306622,1.82568,-9.161150909,3.02525,1.37377,0.764,0.01189,5e-04,0.013355,0.735923905696808,1.65454545454545e-07,0.36969696969697,0.06060606061,0.0107949999999999
"GRB070521",2.0865,37.9,-5.096367484,0.814913181,1.1,22.27524914,2.00022,-10.01233374,3.55243,1.44502,0.98,0.04844,0.147518075,0.0562,2.81938432428048,1.07272727272727e-07,0.163636363636364,0.1212121212,0.04901
"GRB070529",2.4996,109.2,-5.590066877,0.155336037,1.34,22.56252244,1.97999,-10.24641694,3.09323,1.21432,0.76,0.068045,0.015,0.03501,19.9827798950972,1.48484848484848e-07,0.218181818181818,0.096969696969697,0.0552000000000001
"GRB070802",2.45,16.4,-6.552841969,-0.397940009,1.79,21.91375294,1.99014,-11.6716204,3.92184,1.16348,0.78,0.236245,0.045,0.2088785,3.01981259231406,3.03030303030303e-08,0.0606060606060606,0.163636363636364,0.17395
"GRB070809",0.2187,1.3,-7,0.079181246,1.69,20.80619355,1.37246,-11.9625735,4.18985,1.17521,0.396,0.206985,0.0595,0.395643,0.271528985262434,6.06060606060606e-09,0.121212121212121,0.133333333333333,0.1917
"GRB071003",1.60435,150,-5.080921908,0.799340549,1.36,20.86974084,1.91015,-11.67760082,4.78411,1.97901,0.837,0.098505,0.032,0.183105,4.49440006564942,1.81818181818182e-07,0.242424242424242,0.0424242424242424,0.135899999999999
"GRB071020",2.145,4.2,-5.638272164,0.924279286,1.11,20.99642367,1.59788,-9.169411331,2.311950854,1.119196934,0.844,0.039262062,0.001,0.0111532090000001,0.581982801632249,6.06060606060606e-08,0.181818181818182,0.0303030303030303,0.0350998220000003
"GRB071117",1.331,6.6,-5.619788758,1.053078443,1.57,22.04291793,2.0457,-11.23542972,3.901990464,1.104952391,0.94,0.117162967,0.01,0.089387802,1.82485944742003,6.06060606060606e-08,0.242424242424242,0.0363636363636364,0.101024385
"GRB080310",2.42,365,-5.638272164,0.113943352,2.32,10.56142698,2.09352,-11.3990271,4.32608056,1.59590648,0.878,0.03798676,0.0375,0.0652763515,17.3987512074303,1.21212121212121e-07,0.121212121212121,0.096969696969697,0.0424734299999994
"GRB080411",1.03,56,-4.578396073,1.635483747,1.75,21.57289018,1.97674,-10.11350927,4.20932562,1.28909841,0.91,0.049275581,0,0.010296793,1.0009675337169,6.06060606060606e-08,0.545454545454546,0.0181818181818182,0.0604354300000001
"GRB080430",0.767,16.2,-5.920818754,0.414973348,1.73,21.51787914,2.03541,-11.17198494,4.21762911,0.99269763,3.18,0.038388523,0.0755,0.020935069,2.18311336401004,6.06060606060606e-08,0.121212121212121,0.0545454545454545,0.0281809649999998
"GRB080516",3.2,5.8,-6.585026652,0.255272505,1.82,22.03528962,2.3315,-11.12090412,3.77452827,0.94016916,1.48,0.111057696,0.03,0.084888358,0.213016433189357,2.42424242424242e-08,0.181818181818182,0.163636363636364,0.0778036650000002
"GRB080607",3.036,79,-4.619788758,1.36361198,1.31,22.38386741,2.03418,-10.0540393,3.46298403,1.7256074,1.06,0.069659314,0.02,0.0376373875,3.28506192878632,0,0.666666666666667,0.0242424242424242,0.11042072
"GRB080710",0.845,120,-5.853871964,0,1.47,20.89722339,2.00149,-11.23284413,4.09266933,1.52133785,1.3,0.054210787,0.1505178435,0.0640164304999999,17.4370466608647,1.21212121212121e-07,0.121212121212121,0.139393939393939,0.0626949799999998
"GRB080721",2.591,16.2,-4.920818754,1.320146286,1.11,21.79728278,1.9433,-8.714442691,2.87876286,1.33437559,0.735,0.007554816,0,0.00643567299999992,144,6.06060606060606e-07,1.09090909090909,0.0484848484848485,0.00701929850000038
"GRB080810",3.35,106,-5.337242168,0.301029996,1.34,21.45079548,2.11482,-9.931814138,3.2687548,1.44529526,1.079,0.039738688,0.0015,0.036139295,4.33719033229347,1.21212121212121e-07,0.121212121212121,0.0363636363636364,0.031830706
"GRB080928",1.692,280,-5.602059991,0.322219295,1.77,21.51035195,2.13864,-11.1260984,4.08450503,1.76031774,0.99,0.047916769,0,0.075970735,20.8004346174656,1.21212121212121e-07,0.0606060606060606,0.0727272727272727,0.0644840350000004
"GRB081007",0.5295,10,-6.148741651,0.414973348,2.51,21.69605744,2.102,-10.58502665,3.58176278,1.00469263,0.92,0.084284398,0.00499999999999999,0.039134851,2.93713330647929,4.84848484848485e-08,0.242424242424242,0.121212121212121,0.053161115
"GRB081008",1.9685,185.5,-5.366531544,0.113943352,1.69,21.1376737,1.98207,-10.79317412,3.85550833,1.47398467,0.84,0.056285684,0.025,0.063988679,40.3441495698351,1.21212121212121e-07,0.0606060606060606,0.0424242424242424,0.0605298899999998
"GRB081029",3.8479,270,-5.677780705,-0.301029996,1.43,21.49704581,1.95818,-11.86327943,4.48156171,2.51960373,0.87,0.04285341,0.001,0.169198521,45.6827768024956,1.21212121212121e-07,0.121212121212121,0.109090909090909,0.0832508050000005
"GRB081221",2.26,34,-4.742321425,1.260071388,1.21,21.57331844,2.4947,-9.354577731,2.93195749,1.23586126,0.991,0.031176651,5e-04,0.0128618564999999,0.801917699762502,1.81818181818182e-07,0.303030303030303,0.0787878787878788,0.0249854999999997
"GRB081230",2.1,60.7,-6.086186148,-0.15490196,1.97,20.67248024,2.08621,-11.32975415,3.66959365,0.99376498,1.02,0.08735027,0.02,0.0403814179999999,13.7743084089789,4.84848484848485e-08,0.0606060606060606,0.096969696969697,0.0701443999999993
"GRB090102",1.547,27,-7.167491087,0.740362689,1.36,21.72376179,1.76997,-9.457174573,3.15380077,1.42487631,0.667,0.041590346,0.0026734575,0.0217865955,2.24000000357628,1.81818181818182e-09,0.484848484848485,0.0484848484848485,0.0362399829999998
