"","log10NH","PhotonIndex","log10PeakFlux","log10Ta","log10Fa","Beta","log10T90","Alpha","Gamma","log10Fluence","log10NHSqr","PhotonIndexSqr","log10PeakFluxSqr","log10TaSqr","log10FaSqr","BetaSqr","log10T90Sqr","AlphaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","is_optical","log10NH_opt","PhotonIndex_opt","log10PeakFlux_opt","log10Ta_opt","log10Fa_opt","Beta_opt","log10T90_opt","Alpha_opt","Gamma_opt","log10Fluence_opt","Redshift_crosscheck","log10z"
"061121A",21.75351565,1.41,1.324282455,3.78753,-10.03011836,0.9485,1.90982337,1.35185,1.90181,-4.863279433,473.215443134795,1.9881,1.75372402062083,14.3453835009,100.603274315609,0.89965225,3.64742530459816,1.8274984225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",0,0,0,0,0,0,0,0,0,0,0,1.314,0.364363354615731
"061126A",21.38058204,1.32,0.989449818,3.64424254520246,-10.6129056086836,0.919960872864052,2.281033367,1.19082126112496,1.9269241917552,-5.169411331,457.129288369171,1.7424,0.979010942340233,13.2805037282637,112.633765458828,0.846328007600789,5.20311322136736,1.41805527594724,3.71303684077143,26.7228135090712,0.0173110727824034,0.87425662566814,0.492120401108809,0.284238599917496,0.166769272594933,0.0190994093843814,0.06,0.0246693811930976,"061126A",1,5.34514551,0.33,0.2473624545,0.911060636300615,-2.6532264021709,0.229990218216013,0.57025834175,0.29770531528124,0.4817310479388,-1.29235283275,1.1588,0.334212409393176
"061222A",22.56660835,1.35,0.930949031,3.92091,-9.954677021,0.86,1.853698212,1.35061,1.92748,-5.097453221,509.25181242229,1.8225,0.866666098319839,15.3735352281,99.0955945924254,0.7396,3.436197061172,1.8241473721,3.7151791504,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,"061222A",0,0,0,0,0,0,0,0,0,0,0,2.088,0.489677291663699
"070110A",21.3989672,1.58,-0.22184875,4.26825,-11.04866248,1.186,1.946550511,1.42725,2.08596,-5.790484985,457.915797226676,2.4964,0.0492168678765625,18.2179580625,122.07294259696,1.406596,3.78905889187436,2.0370425625,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",0,0,0,0,0,0,0,0,0,0,0,2.352,0.525304009958239
"070125A",21.1168251059769,1.66719216524827,0.461366700396796,4.27199680345558,-10.7818249279029,0.894685758869131,1.77815125,1.56710550827203,1.95142632719767,-5.49527903539734,445.920302556416,2.77952971586521,0.212859232235027,18.2499566887347,116.247748775948,0.800462607123233,3.16182186787656,2.45581967405654,3.80806471048019,30.1980916768775,0.0951998384562338,0.844932447454705,0.493515184229057,0.260776495350556,0.18379041865902,0.0330719907495403,0.177142407809118,0.0593602352348791,"070125A",1,5.27920627649423,0.416798041312067,0.115341675099199,1.0679992008639,-2.69545623197572,0.223671439717283,0.4445378125,0.391776377068007,0.487856581799417,-1.37381975884934,1.55,0.406540180433955
"070223A",21.70173804,1.85,-0.161150909,4.22335,-11.86327943,1.03,1.9408513687054,0.991734,2.25837,-5.769551079,470.965433956783,3.4225,0.0259696154715263,17.8366852225,140.737398834261,1.0609,3.76690403540562,0.983536326756,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",0,0,0,0,0,0,0,0,0,0,0,1.6295,0.419873175149476
"070306A",22.44245468,1.66,0.609594409,4.86926,-11.2737,0.831,2.321184027,1.89982,1.94468,-5.269217724,503.663772063854,2.7556,0.371605343484059,23.7096929476,127.09631169,0.690561,5.38789528719994,3.6093160324,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",0,0,0,0,0,0,0,0,0,0,0,1.4959,0.397227181043161
"070411A",22.32139542,1.72,-0.040958608,3.52451102114162,-10.7306891808701,0.994961151066193,2.089021501,1.35919354547361,2.2428,-5.568636236,498.244693495997,2.9584,0.00167760756929766,12.4221779381487,115.147690296443,0.989947692130964,4.36401083164029,1.84740709405712,5.03015184,31.0097095288922,0.014863865494915,0.896206110556883,0.54388957631638,0.283380002578361,0.181071855274788,0.02493172,0.1,0.062042069,"070411A",1,5.580348855,0.43,-0.010239652,0.881127755285405,-2.68267229521752,0.248740287766548,0.52225537525,0.339798386368402,0.5607,-1.392159059,2.95,0.59659709562646
"070508A",21.89306622,1.1,1.382017043,3.02525,-9.161150909,0.764,1.320146286,1.37377,1.82568,-4.707743929,479.306348513305,1.21,1.90997110714246,9.1521375625,83.9266859774715,0.583696,1.74278621643959,1.8872440129,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0,0,0,0,0,0,0,0,0,0,0,0.82,0.260071387985075
"070521A",22.27524914,1.1,0.814913181,3.55243,-10.01233374,0.98,1.57863921,1.44502,2.00022,-5.096367484,496.186724249071,1.21,0.664083492567539,12.6197589049,100.246826921142,0.9604,2.49210175534942,2.0880828004,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",0,0,0,0,0,0,0,0,0,0,0,2.0865,0.489466281303128
"070529A",22.56252244,1.34,0.155336037,3.09323,-10.24641694,0.76,2.038222638,1.21432,1.97999,-5.590066877,509.067418855503,1.7956,0.0241292843908654,9.5680718329,104.989060108319,0.5776,4.15435152205568,1.4745730624,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",0,0,0,0,0,0,0,0,0,0,0,2.4996,0.544018407858776
"070612A",21.2559971173378,1.69,0.178976947,4.20638103728954,-10.7181305628919,0.999667561538933,2.566790912,1.99629051266023,1.97567939099548,-4.974694135,451.817413452273,2.8561,0.0320327475574408,17.693641430869,114.878322763197,0.999335233593196,6.58841558592579,3.98517581093724,3.90330905600427,24.7475817368034,0.091090048181127,0.830472615610453,0.529085409923076,0.386626127808016,0.192443443140314,0.024623678,0.1,0.109292651,"070612A",1,5.31399927933445,0.4225,0.04474423675,1.05159525932238,-2.67953264072298,0.249916890384733,0.641697728,0.499072628165057,0.49391984774887,-1.24367353375,0.671,0.222976449893391
"070721B",21.89473409,1.34,0.176091259,3.94739,-10.50863831,0.52,2.531478917,2.5054,1.52512,-5.443697499,479.379380871808,1.7956,0.0310081314962051,15.5818878121,110.4314791304,0.2704,6.40838550721549,6.27702916,2.3259910144,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,"070721B",0,0,0,0,0,0,0,0,0,0,0,3.626,0.6652056284346
"070802A",21.91375294,1.79,-0.397940009,3.92184,-11.6716204,0.78,1.214843848,1.16348,1.99014,-6.552841969,480.212567915359,3.2041,0.15835625076292,15.3808289856,136.226722761696,0.6084,1.47584557502345,1.3536857104,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",0,0,0,0,0,0,0,0,0,0,0,2.45,0.537819095073274
"070810A",21.93100401,2.04,0.278753601,3.36583,-10.77728353,1.02,1.041392685,1.36994,2.17076,-6.161150909,480.968936886636,4.1616,0.0777035700704672,11.3288115889,116.149840286009,1.0404,1.08449872437151,1.8767356036,4.7121989776,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,"070810A",0,0,0,0,0,0,0,0,0,0,0,2.17,0.501059262217751
"071003A",20.86974084,1.36,0.799340549,4.78411,-11.67760082,0.837,2.170643023,1.97901,1.91015,-5.080921908,435.546082728764,1.8496,0.638945313275621,22.8877084921,136.366360911265,0.700569,4.71169113329858,3.9164805801,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",0,0,0,0,0,0,0,0,0,0,0,1.60435,0.415699348887829
"071010A",22.13954852,2.33,-0.096910013,4.24093899345619,-11.0730274355197,0.900657762051906,0.77815125,1.79568340871749,2.33496,-6.698970004,490.159608669434,5.4289,0.00939155061966017,17.9855635462172,122.611936587772,0.811184404344348,0.605519367876562,3.22447890434326,5.4520382016,44.8761991144918,0.199990220376636,0.900743937864795,0.531554488191854,0.280602988955496,0.175733864567442,0.086858896,0.37,0.162860431,"071010A",1,5.53488713,0.5825,-0.02422750325,1.06023474836405,-2.76825685887993,0.225164440512976,0.1945378125,0.448920852179372,0.58374,-1.674742501,0.99,0.298853076409707
"071010B",21.30047157,1.53,0.886490725,3.46676719914564,-10.4073940631973,0.883998700329172,1.552668216,1.02965787291717,2.04061,-5.356547324,453.710089104378,2.3409,0.785865805511026,12.0184748130721,108.313851186674,0.781453702183665,2.41077858897662,1.06019533526031,4.1640891721,28.6925992342516,0.0148761559757772,0.849204683043412,0.478389373424474,0.278849861195054,0.187981490414201,0.009870329,0.22,0.016920564,"071010B",1,5.3251178925,0.3825,0.22162268125,0.86669179978641,-2.60184851579932,0.220999675082293,0.388167054,0.257414468229292,0.5101525,-1.339136831,0.947,0.289365951520032
"071020A",20.99642367,1.11,0.924279286,2.311950854,-9.169411331,0.844,0.62324929,1.119196934,1.59788,-5.638272164,440.849806930136,1.2321,0.85429219852867,5.34511675131133,84.0781041570712,0.712336,0.388439677485504,1.252601777075,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",0,0,0,0,0,0,0,0,0,0,0,2.145,0.497620649781288
"071025A",21.07108335,1.79,0.204119983,3.60723936131691,-10.7483037557133,0.96757955133753,2.376832349,1.40196947400546,1.97502660214106,-5.187086643,443.990553542647,3.2041,0.0416649674599203,13.012175809834,115.526033625081,0.936210188166536,5.64933201525286,1.96551840604315,3.90073007916486,26.905867841989,0.0491496346156657,0.845514484790761,0.479661086558661,0.268068733221128,0.19008162469404,0.021297834433594,0.05,0.0778422962236166,"071025A",1,5.2677708375,0.4475,0.05102999575,0.901809840329228,-2.68707593892832,0.241894887834383,0.59420808725,0.350492368501365,0.493756650535265,-1.29677166075,5,0.778151250383644
"071112C",20.5643192,1.09,0.903089987,3.24685664084216,-10.3461501353973,0.848367271757572,1.176091259,1.16868187290275,1.67267,-5.522878745,422.891224159489,1.1881,0.81557152461966,10.5420780461808,107.042822624182,0.719727027789386,1.38319064949621,1.36581732005148,2.7978249289,30.5021896319728,0.0442926372724909,0.904446039087905,0.518009046244631,0.265425982613987,0.172051394341565,0.057905931,0.07,0.05428681,"071112C",1,5.1410798,0.2725,0.22577249675,0.81171416021054,-2.58653753384933,0.212091817939393,0.29402281475,0.292170468225687,0.4181675,-1.38071968625,0.82,0.260071387985075
"071117A",22.04291793,1.57,1.053078443,3.901990464,-11.23542972,0.94,0.819543936,1.104952391,2.0457,-5.619788758,485.890230868716,2.4649,1.1089742071113,15.2255295811469,126.234880993059,0.8836,0.671652263034372,1.22091978637662,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",0,0,0,0,0,0,0,0,0,0,0,1.331,0.367542273520577
"080310A",21.32824297,2.32,0.113943352,4.32608056,-11.3990271,0.878,2.560456622,1.59590648,2.09352,-5.638272164,454.893948187355,5.3824,0.0129830874649959,18.7149730116099,129.937818826534,0.770884,6.55593811314365,2.54691749290599,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",0,0,0,0,0,0,0,0,0,0,0,2.42,0.534026106056135
"080319B",20.8771334,1.04,1.394451681,5.36799912,-12.15181088,0.73,1.68090255756894,1.42250979,1.81426,-4.091514981,435.854699001396,1.0816,1.94449549064373,28.8154145523208,147.666507663286,0.5329,2.8254334080418,2.02353410264584,3.2915393476,16.7404948397474,0.00162180613819455,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,"080319B",0,0,0,0,0,0,0,0,0,0,0,0.937,0.287129620719111
"080319C",21.75037415,1.37,0.716003344,3.55022350403823,-10.6822628133741,0.938066200015019,1.531478917,1.67799727675387,1.61029,-5.443697499,473.078775664988,1.8769,0.512660788619182,12.6040869286255,114.110738813995,0.879968195610618,2.34542767321549,2.8156748607934,2.5930338841,29.6338424606189,0.0815374132437055,0.917229005112509,0.522864767215619,0.389193366943707,0.202197877930226,0.012063736,0.07,0.025055451,"080319C",1,5.4375935375,0.3425,0.179000836,0.887555876009558,-2.67056570334353,0.234516550003755,0.38286972925,0.419499319188468,0.4025725,-1.36092437475,1.95,0.469822015978163
"080330A",21.69090721,2.53,-0.045757491,3.61779283726065,-10.5146823488703,0.851531520680157,1.783188691,1.25523741091828,2.25433,-6.468521083,470.49545559283,6.4009,0.00209374798261508,13.0884250133345,110.558544897645,0.725105930711861,3.17976190771029,1.57562095776883,5.0820037489,41.8417650012155,0.249936990327389,0.866852928215097,0.525718088172777,0.267117176189114,0.176758751377948,0.102186937,0.45,0.096509885,"080330A",1,5.4227268025,0.6325,-0.01143937275,0.904448209315162,-2.62867058721758,0.212882880170039,0.44579717275,0.31380935272957,0.5635825,-1.61713027075,1.51,0.399673721481038
"080411A",21.57289018,1.75,1.635483747,4.20932562,-10.11350927,0.91,1.748188027,1.28909841,1.97674,-4.578396073,465.38959071834,3.0625,2.67480708670116,17.7184221751884,102.283069754376,0.8281,3.05616137774615,1.66177471066453,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",0,0,0,0,0,0,0,0,0,0,0,1.03,0.307496037913213
"080413B",21.31329763,1.26,1.271841607,4.37642100674536,-11.168209202489,0.907123031664302,0.903089987,1.81864142533356,1.93206,-5.494850022,454.256655864964,1.5876,1.61758107329634,19.1530608282821,124.72889679056,0.822872194575834,0.81557152461966,3.30745663393928,3.7328558436,30.1933767642734,0.0303933846890459,0.942321804873536,0.519421510387592,0.316172736808313,0.164019249380587,0.013571703,0.27,0.018579443,"080413B",1,5.3283244075,0.315,0.31796040175,1.09410525168634,-2.79205230062225,0.226780757916075,0.22577249675,0.45466035633339,0.483015,-1.3737125055,1.1,0.322219294733919
"080516A",22.03528962,1.82,0.255272505,3.77452827,-11.12090412,1.48,0.763427994,0.94016916,2.3315,-6.585026652,485.55398863728,3.3124,0.065164051808975,14.2470636610292,123.674508446233,2.1904,0.582822302022864,0.883918049415106,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",0,0,0,0,0,0,0,0,0,0,0,3.2,0.6232492903979
"080603A",20.9181675200872,1.8144820875664,0.365016103959771,3.73469319385068,-10.7788840826963,0.934250255128602,1.77815125,1.20667646070509,2.0146549872069,-5.70558194498092,437.569732398431,3.29234524609932,0.13323675614997,13.9479332521946,116.184342068204,0.872823539207858,3.16182186787656,1.45606808081976,4.05883471747763,32.5536653308923,0.014863865494915,0.921194199276174,0.506837833371978,0.269537194705939,0.176343554061835,0.0419982454796969,0.181989441665926,0.0645822859728094,"080603A",1,5.2295418800218,0.4536205218916,0.0912540259899428,0.93367329846267,-2.69472102067407,0.23356256378215,0.4445378125,0.301669115176272,0.503663746801725,-1.42639548624523,1.69,0.429752280002408
"080603B",21.31611509,1.21,0.544068044,3.86759495300107,-10.7327663516347,0.894451033155736,1.77815125,1.3249050024208,1.83449,-5.619788758,454.376762530126,1.4641,0.296010036501986,14.9582907204793,115.192273558782,0.800042650713364,3.16182186787656,1.75537326543966,3.3653535601,31.5820256845432,0.0559162050267847,0.912466447488495,0.507891037016446,0.257334710763915,0.177154382473695,0.018095603,0.3,0.024816828,"080603B",1,5.3290287725,0.3025,0.136017011,0.966898738250268,-2.68319158790867,0.223612758288934,0.4445378125,0.3312262506052,0.4586225,-1.4049471895,2.6893,0.566943971856554
"080607A",22.38386741,1.31,1.36361198,3.46298403,-10.0540393,1.06,1.899984563,1.7256074,2.03418,-4.619788758,501.03752022846,1.7161,1.85943763199952,11.992258392035,101.083706245944,1.1236,3.6099413396383,2.97772089893476,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",0,0,0,0,0,0,0,0,0,0,0,3.036,0.605951157564873
"080810A",21.45079548,1.34,0.301029996,3.2687548,-9.931814138,1.079,2.03666881,1.44529526,2.11482,-5.337242168,460.136626724788,1.7956,0.09061905849176,10.684757942523,98.6409320717767,1.164241,4.14801984162682,2.08887838857847,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",0,0,0,0,0,0,0,0,0,0,0,3.35,0.638489256954637
"080905B",22.33533151,1.78,-0.301029996,3.67820615,-10.11125904,0.375,2.10720997,1.36946226,1.86248,-5.744727495,498.867033661599,3.1684,0.09061905849176,13.5292004818978,102.237559373982,0.140625,4.4403338576674,1.87542688156431,3.4688317504,33.001893991809,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,"080905B",0,0,0,0,0,0,0,0,0,0,0,2.374,0.528145078253106
"080928A",21.51035195,1.77,0.322219295,4.08450503,-11.1260984,0.99,2.368584372,1.76031774,2.13864,-5.602059991,462.695241012869,3.1329,0.103825274070297,16.6831813400953,123.790065606483,0.9801,5.61019192728263,3.09871854575871,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",0,0,0,0,0,0,0,0,0,0,0,1.692,0.430075055551939
"081007A",21.69605744,2.51,0.414973348,3.58176278,-10.58502665,0.92,0.958563883,1.00469263,2.102,-6.148741651,470.718908439779,6.3001,0.172202879550329,12.8290246121933,112.04278918121,0.8464,0.918844717792038,1.00940728077632,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0,0,0,0,0,0,0,0,0,0,0,0.5295,0.184549481320698
"081008A",21.1376737,1.69,0.113943352,3.85550833,-10.79317412,0.84,2.268297087,1.47398467,1.98207,-5.366531544,446.801249447672,2.8561,0.0129830874649959,14.8649444826994,116.492607584638,0.7056,5.14517167489269,2.17263080739501,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",0,0,0,0,0,0,0,0,0,0,0,1.9685,0.472537053262077
"081028A",20.90308999,1.25,-0.301029996,4.75426,-11.3994,0.945,2.414973348,2.20023,2.51,-5.431798276,436.939171130038,1.5625,0.09061905849176,22.6029881476,129.94632036,0.893025,5.83209627155033,4.8410120529,6.3001,29.5044325111566,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,"081028A",0,0,0,0,0,0,0,0,0,0,0,3.038,0.60616631460762
"081029A",21.49704581,1.43,-0.301029996,4.48156171,-11.86327943,0.87,2.431283332,2.51960373,1.95818,-5.677780705,462.122978557239,2.0449,0.09061905849176,20.0843953605381,140.737398834261,0.7569,5.91113864046102,6.34840295622991,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",0,0,0,0,0,0,0,0,0,0,0,3.8479,0.685553652846326
"081203A",21.66176916,1.54,0.462397998,4.02089,-10.9243983,0.82,2.46834733,1.86904,2.03508,-5.113509275,469.232243141127,2.3716,0.213811908554408,16.1675563921,119.342478217043,0.6724,6.09273854151813,3.4933105216,4.1415506064,26.147977105511,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,"081203A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"081221A",21.57331844,1.21,1.260071388,2.93195749,-9.354577731,0.991,1.531478917,1.23586126,2.4947,-4.742321425,465.408068513644,1.4641,1.58777990285625,8.5963747231671,87.5081245253211,0.982081,2.34542767321549,1.52735305396879,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",0,0,0,0,0,0,0,0,0,0,0,2.26,0.513217600067939
"081228A",21.16936021,2.1,-0.22184875,3.36382937596547,-10.9891499703571,0.995092940924542,0.477121255,1.28917055544911,2.11824052948599,-7.050609993,448.141811700731,4.41,0.0492168678765625,11.3153480706082,120.761417070999,0.990209961077854,0.227644691972775,1.66196072103697,4.48694294075709,49.7111012733915,0.0414232996019404,0.878405434289974,0.503667680705283,0.268485160347039,0.179717846048839,0.0674679414874554,0.31,0.103319586082909,"081228A",1,5.2923400525,0.525,-0.0554621875,0.840957343991367,-2.74728749258928,0.248773235231136,0.11928031375,0.322292638862277,0.529560132371497,-1.76265249825,3.44,0.64738297011462
"081230A",20.67248024,1.97,-0.15490196,3.66959365,-11.32975415,1.02,0.907209226455443,0.99376498,2.08621,-6.086186148,427.35143927319,3.8809,0.0239946172118416,13.4659175561203,128.363329099442,1.0404,0.823028580565883,0.9875688354744,4.3522721641,37.0416618281071,0.740704337003766,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",0,0,0,0,0,0,0,0,0,0,0,2.1,0.491361693834273
"090102A",21.72376179,1.36,0.740362689,3.15380077,-9.457174573,0.667,1.432006687,1.42487631,1.76997,-7.167491087,471.921826308664,1.8496,0.548136911263311,9.94645929685259,89.4381509041977,0.444889,2.05064315161272,2.03027249879922,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",0,0,0,0,0,0,0,0,0,0,0,1.547,0.406028944963615
"090205A",21.81792086,2.15,-0.301029996,3.70655,-11.3419886,1.01,0.944482672,1.29089,2.03416,-6.721246399,476.021670653223,4.6225,0.09061905849176,13.7385129025,128.64070540253,1.0201,0.89204751770826,1.6663969921,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",0,0,0,0,0,0,0,0,0,0,0,4.6497,0.752025387323213
"090313A",22.44115763,1.91,-0.096910013,3.63731127271404,-10.2889662426282,0.964829832737286,1.893872679,1.16938612936099,2.07619,-5.853871964,503.605555774507,3.6481,0.00939155061966017,13.2300332946126,105.862826341943,0.930896606139859,3.58675372426264,1.36746391954188,4.3105649161,34.2678169709052,0.0664439832683159,0.992010235318336,0.489210944527025,0.244730225662201,0.178848964983414,0.062042069,0.29,0.162860431,"090313A",1,5.6102894075,0.4775,-0.02422750325,0.90932781817851,-2.57224156065705,0.241207458184321,0.47346816975,0.292346532340247,0.5190475,-1.463467991,3.38,0.6414741105041
"090418A",22.02365981,1.48,0.278753601,3.52813657,-10.04720756,0.98,1.748188027,1.52909667,2.03408,-5.337242168,485.041591426609,2.1904,0.0777035700704672,12.4477476565714,100.946379753721,0.9604,3.05616137774615,2.33813662620509,4.1374814464,28.4861539598773,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.068572813,"090418A",0,0,0,0,0,0,0,0,0,0,0,1.608,0.416307587059883
"090423A",22.7516324,0.8,0.230448921,3.91521772,-11.2798407,0.77,0.989894564,1.43267533,1.8158,-6.229147988,517.63677686473,0.64,0.0531067051900642,15.328929795002,127.234806217376,0.5929,0.97989124783675,2.05255860119061,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",0,0,0,0,0,0,0,0,0,0,0,8.26,0.966610986681934
"090424A",21.63012977,1.19,1.851258349,2.99599056,-9.050609993,0.924,1.681241237,1.1284106,1.96315,-4.677780705,467.86251386704,1.4161,3.42715747474221,8.97595943560911,81.9135412453915,0.853776,2.82657209698929,1.27331048219236,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0,0,0,0,0,0,0,0,0,0,0,0.544,0.188647295999717
"090519A",22.13069392,1.02,-0.22184875,3.44619,-11.76000021,0.63,1.806179974,1.42452,1.46604,-5.920818754,489.767613380725,1.0404,0.0492168678765625,11.8762255161,138.2976049392,0.3969,3.26228609847864,2.0292572304,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",0,0,0,0,0,0,0,0,0,0,0,3.85,0.685741738602264
"090529A",21.72376179,2,-0.397940009,4.472757799,-12.1873998,0.64,1.837651558,0.8815438,2.22623,-6.167491087,471.921826308664,4,0.15835625076292,20.0055623285153,148.53271388504,0.4096,3.37696324861983,0.77711947131844,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",0,0,0,0,0,0,0,0,0,0,0,2.625,0.559308010907013
"090530A",20.90942658,1.61,0.397940009,3.6839464,-11.16052195,1.09,1.681241237,0.88610581,2.03975,-5.958607315,437.204119904411,2.5921,0.15835625076292,13.571461078073,124.557250196432,1.1881,2.82657209698929,0.785183506515756,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",0,0,0,0,0,0,0,0,0,0,0,1.266,0.355259905527378
"090618A",21.39200012,1.42,1.589949601,3.67275453,-9.640164518,0.8945,2.05388479,1.30942861,1.82831,-3.978810701,457.61766913408,2.0164,2.52793973372006,13.4891258376355,92.9327719341062,0.80013025,4.21844273059334,1.71460328468653,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,"090618A",0,0,0,0,0,0,0,0,0,0,0,0.54,0.187520720836463
"090726A",22.02689264,2.25,-0.15490196,3.57860255698296,-10.5716353024412,1.00752224635278,1.773054693,1.2435967866268,2.4288,-6.065501549,485.183999374086,5.0625,0.0239946172118416,12.806396260845,111.759472967821,1.01510107689575,3.14372294436932,1.5465329677085,5.89906944,36.7903090409214,0.00378540226960351,0.857411683809568,0.488846041042127,0.278232380337431,0.194716650771685,0.050499358,0.19,0.124084138,"090726A",1,5.50672316,0.5625,-0.03872549,0.89465063924574,-2.6429088256103,0.251880561588195,0.44326367325,0.3108991966567,0.6072,-1.51637538725,2.71,0.569373909615046
"090809A",21.91952315,1.34,0.041392685,4.56066,-11.8559,0.96,0.73239376,1.6367,1.94644,-6.468521083,480.465495123386,1.7956,0.00171335437150922,20.7996196356,140.56236481,0.9216,0.536400619686938,2.67878689,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,"090809A",0,0,0,0,0,0,0,0,0,0,0,2.737,0.572523097849638
"090812A",21.77771022,1.24,0.556302501,3.52924,-10.16730017,0.53,1.824125834,1.37252,1.88559,-5.236572006,474.268662426292,1.5376,0.309472472618855,12.4555349776,103.373992746882,0.2809,3.3274350582662,1.8838111504,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",0,0,0,0,0,0,0,0,0,0,0,2.452,0.538070787043172
