"","log10Ta","log10PeakFlux","log10NH","log10Fa","PhotonIndex","Alpha","log10T90","Beta","Gamma","log10Fluence","log10TaSqr","log10PeakFluxSqr","log10NHSqr","log10FaSqr","PhotonIndexSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"060124A",4.47599,-0.050609993,21.9172644,-10.6893,1.84,1.3641,1.134495856,0.99,2.00895,-6.336299075,20.0344864801,0.00256137139146005,480.366478779507,114.26113449,3.3856,1.86076881,1.28708084728117,0.9801,4.0358801025,40.1486859678459,0.0416381769095578,0.04445,0.036665,0.01627,0.076380116,0.049929734,0.19,0.087834839,"060124A",2.296,0.517987203025078
"060206A",3.93814,0.445604203,22.33966406,-10.63078414,1.2,1.17565,0.880241776,1.265,2.20424,-6.080398976,15.5089466596,0.198563105731265,499.060590313656,113.013571431276,1.44,1.3821529225,0.774825584215634,1.600225,4.8586739776,36.9712517073418,0.110636974360534,0.07055,0.07444,0.02867,0.013041887,0.021949902,0.181818182,0.026462388,"060206A",4.048,0.703119346236078
"060210A",4.15028,0.434568904,22.3877421,-10.66756154,1.53,1.20511,2.40654018,0.979,2.08163,-5.11577123,17.2248240784,0.188850132323761,501.210996336112,113.796869209687,2.3409,1.4522901121,5.79143563795443,0.958441,4.3331834569,26.1711152776957,0.207740121229715,0.0292,0.030365,0.02297,0.083622271,0.023188831,0.09,0.044706785,"060210A",3.91,0.691081492122968
"060306A",3.61496,0.775974331,21.61973178,-10.70553377,1.8,1.03794,2.13255996245349,0.76,2.28823,-5.671620397,13.0679358016,0.602136162370898,467.412802239142,114.60845330061,3.24,1.0773194436,4.54781199345965,0.5776,5.2359965329,32.1672779276664,0.011262218728324,0.03495,0.04452,0.02498,0.01,0.01457843,0.060606061,0.0488439909307915,"060306A",1.559,0.408070285887185
"060418A",3.11887,0.814247596,21.65363309,-9.792961075,1.7,1.47655,2.158362492,0.98,1.94118,-5.079354999,9.7273500769,0.662999147591779,468.879825996343,95.9020866164651,2.89,2.1801999025,4.65852864687245,0.9604,3.7681797924,25.7998472058663,0.136485588124709,0.04904,0.057245,0.044705,0.005,0.013190457,0.06,0.023313354,"060418A",1.489,0.396024896608593
"060526A",3.8752,0.222716471,21.52664292,-11.3053948,2.01,1.05873,2.47444938,0.93,1.90677,-5.899629455,15.01717504,0.0496026264546938,463.396355405186,127.811951583867,4.0401,1.1209092129,6.12289973418238,0.8649,3.6357718329,34.8056277063036,0.0335716198838349,0.06785,0.09216,0.0623145,0.0305,0.056871896,0.24,0.046810184,"060526A",3.221,0.625415352154408
"060604A",4.45991,-0.468521083,21.99003057,-11.76955108,2.01,1.21596,1.977723605,1.02,2.1711,-6.395773947,19.8907972081,0.219512005215493,483.561444469534,138.522332624729,4.0401,1.4785587216,3.9113906577742,1.0404,4.71367521,40.905924381124,0.0777158547080599,0.04195,0.04994,0.04695,0,0.11451546,0.42,0.166053773,"060604A",2.1357,0.496334505996816
"060605A",4.04162,-0.337242168,21.77333803,-11.26121944,1.55,1.9179,2.059904056,0.835,2.02128,-6.156767222,16.3346922244,0.11373227987734,474.078248968644,126.815063275834,2.4025,3.67834041,4.24320471992525,0.697225,4.0855728384,37.9057826258936,0.132471980179598,0.05315,0.037375,0.085,0.10149311,0.056078197,0.2,0.113294213,"060605A",3.78,0.679427896612119
"060707A",3.5545,0.004321374,21.20847898,-10.9132,0.6,0.861995,1.820857989,1.12,2.09345,-5.795880017,12.63447025,1.8674273247876e-05,449.799580645102,119.09793424,0.36,0.743035380025,3.31552381610512,1.2544,4.3825329025,33.5922251714599,0.0414232996019404,0.07695,0.127895,0.0364485,0.035,0.040986542,0.363636364,0.098898743,"060707A",3.425,0.645913275033844
"060708A",3.50569,0.28780173,20.79066861,-10.86966623,1.68,1.12969,1.008600172,1.485,2.20484,-6.306273051,12.2898623761,0.0828298357909929,432.251901250839,118.149643951602,2.8224,1.2761994961,1.01727430695843,2.205225,4.8613194256,39.7690797937688,0.153333382237578,0.06115,0.062725,0.028525,0.33410152,0.032528129,0.12,0.031340839,"060708A",1.92,0.465382851448418
"060714A",3.73449,0.10720997,22.0125926,-10.86012091,1.93,1.20488,2.060660074,0.87,2.04425,-5.548213564,13.9464155601,0.0114939776674009,484.554232973575,117.942226179819,3.7249,1.4517358144,4.24631994057768,0.7569,4.1789580625,30.7826737517536,0.0344798070207195,0.0352,0.046765,0.035305,0.005,0.025627978,0.11,0.044108033,"060714A",2.711,0.569490954348783
"060729A",5.1057,0.068185862,20.86562801,-11.15058059,1.75,1.35481,2.062017599,1.317,1.92492,-5.583359493,26.06817249,0.00464931177668304,435.374432251696,124.335447494085,3.0625,1.8355101361,4.25191657858572,1.734489,3.7053170064,31.1739032280732,0.127647038192483,0.0116,0.012825,0.013425,0.077392286,0.035109631,0.14,0.048254942,"060729A",0.54,0.187520720836463
"060814A",4.22387,0.861534411,22.00679538,-10.91009489,1.53,1.29504,2.162265614,0.97,2.11591,-4.835647144,17.8410777769,0.742241541337117,484.299042897189,119.030170508804,2.3409,1.6771286016,4.6753925854868,0.9409,4.4770751281,23.3834833012754,0.0146412491965932,0.0353,0.034855,0.024565,0,0.007109341,0.03,0.017323989,"060814A",1.9229,0.465813957269479
"060906A",4.33479,0.294466226,22.41960057,-11.8827287,2.03,1.71887,1.638489257,1.06,2.07859,-5.655607726,18.7904043441,0.0867103582546831,502.638489718344,141.199241357804,4.1209,2.9545140769,2.68464704530441,1.1236,4.3205363881,31.9858987503909,0.0815374132437055,0.08845,0.072145,0.169635,0.005,0.026725814,0.11,0.061727135,"060906A",3.686,0.670802284260944
"060908A",2.81918,0.481442629,21.80952201,-9.627087997,1,1.38309,1.285557309,1.185,2.13395,-5.552841969,7.9477758724,0.231787005018432,475.655250304674,92.6808233019815,1,1.9129379481,1.65265759472332,1.404225,4.5537426025,30.8340539326878,0.0299356101990356,0.045185,0.05993,0.04964,0.003474954,0.017216674,0.181818182,0.035832878,"060908A",1.8836,0.459935016851525
"060926A",3.351,0.037426498,22.50004427,-10.84771166,2.54,1.45111,0.903089987,1.357,2.00443,-6.659555885,11.229201,0.001400742752544,506.25199215196,117.6728482585,6.4516,2.1057202321,0.81557152461966,1.841449,4.0177396249,44.3496845854381,0.0658325115034435,0.08245,0.09927,0.11561,0.009157091,0.049576996,0.23,0.055780943,"060926A",3.2,0.6232492903979
"060927A",3.15198,0.431363764,22.10710478,-10.77728353,0.9,1.39098,1.352953912,0.83,1.94856,-5.946921557,9.9349779204,0.186074696892248,488.724081753899,116.149840286009,0.81,1.9348253604,1.8304842879961,0.6889,3.7968860736,35.3658760051113,0.0249377639674928,0.08115,0.108435,0.118785,0.178498106,0.026134535,0.242424242,0.027344467,"060927A",5.47,0.8109042806687
"061121A",3.78753,1.324282455,21.75351565,-10.03011836,1.41,1.35185,1.90982337,0.9485,1.90181,-4.863279433,14.3453835009,1.75372402062083,473.215443134795,100.603274315609,1.9881,1.8274984225,3.64742530459816,0.89965225,3.6168812761,23.6514868434408,0.246558916936231,0.01265,0.01703,0.01585,0.002358211,0.006308365,0.03,0.009468031,"061121A",1.314,0.364363354615731
"070110A",4.26825,-0.22184875,21.3989672,-11.04866248,1.58,1.42725,1.946550511,1.186,2.08596,-5.790484985,18.2179580625,0.0492168678765625,457.915797226676,122.07294259696,2.4964,2.0370425625,3.78905889187436,1.406596,4.3512291216,33.5297163615105,0.0711120769415451,0.05475,0.053995,0.046555,0.12166788,0.028952965,0.12,0.086858896,"070110A",2.352,0.525304009958239
"070208A",3.44468,-0.045757491,21.8647258,-10.86327943,1.94,1.2125,1.806179974,1.14,2.20341,-6.351639989,11.8658203024,0.00209374798261508,478.066234309186,118.010839974261,3.7636,1.47015625,3.26228609847864,1.2996,4.8550156281,40.3433305498639,0.153546286600926,0.1619,0.14114,0.06357,0.015,0.098570208,0.36,0.106160873,"070208A",1.165,0.335457900689384
"070223A",4.22335,-0.161150909,21.70173804,-11.86327943,1.85,0.991734,1.9408513687054,1.03,2.25837,-5.769551079,17.8366852225,0.0259696154715263,470.965433956783,140.737398834261,3.4225,0.983536326756,3.76690403540562,1.0609,5.1002350569,33.2877196531901,0.0402373538487879,0.16615,0.203105,0.079308,0.06,0.018572476,0.072727273,0.130844061722848,"070223A",1.6295,0.419873175149476
"070306A",4.86926,0.609594409,22.44245468,-11.2737,1.66,1.89982,2.321184027,0.831,1.94468,-5.269217724,23.7096929476,0.371605343484059,503.663772063854,127.09631169,2.7556,3.6093160324,5.38789528719994,0.690561,3.7817803024,27.7646554229157,0.134263479640872,0.0335,0.02824,0.06188,0.001,0.02308703,0.1,0.022408315,"070306A",1.4959,0.397227181043161
"070508A",3.02525,1.382017043,21.89306622,-9.161150909,1.1,1.37377,1.320146286,0.764,1.82568,-4.707743929,9.1521375625,1.90997110714246,479.306348513305,83.9266859774715,1.21,1.8872440129,1.74278621643959,0.583696,3.3331074624,22.1628529010364,0.0152922340458476,0.010795,0.01189,0.013355,5e-04,0.006049102,0.060606061,0.010992516,"070508A",0.82,0.260071387985075
"070521A",3.55243,0.814913181,22.27524914,-10.01233374,1.1,1.44502,1.57863921,0.98,2.00022,-5.096367484,12.6197589049,0.664083492567539,496.186724249071,100.246826921142,1.21,2.0880828004,2.49210175534942,0.9604,4.0008800484,25.9729615319725,0.0323072045959819,0.04901,0.04844,0.0562,0.147518075,0.009596769,0.121212121,0.017957046,"070521A",2.0865,0.489466281303128
"070529A",3.09323,0.155336037,22.56252244,-10.24641694,1.34,1.21432,2.038222638,0.76,1.97999,-5.590066877,9.5680718329,0.0241292843908654,509.067418855503,104.989060108319,1.7956,1.4745730624,4.15435152205568,0.5776,3.9203604001,31.2488476893325,0.0794726286723922,0.0552,0.068045,0.03501,0.015,0.041401614,0.16,0.109332877,"070529A",2.4996,0.544018407858776
"070802A",3.92184,-0.397940009,21.91375294,-11.6716204,1.79,1.16348,1.214843848,0.78,1.99014,-6.552841969,15.3808289856,0.15835625076292,480.212567915359,136.226722761696,3.2041,1.3536857104,1.47584557502345,0.6084,3.9606572196,42.9397378706878,0.079968777148268,0.17395,0.236245,0.2088785,0.045,0.077552586,0.27,0.108573621,"070802A",2.45,0.537819095073274
"071003A",4.78411,0.799340549,20.86974084,-11.67760082,1.36,1.97901,2.170643023,0.837,1.91015,-5.080921908,22.8877084921,0.638945313275621,435.546082728764,136.366360911265,1.8496,3.9164805801,4.71169113329858,0.700569,3.6486730225,25.8157674351944,0.0131768929142836,0.1359,0.098505,0.183105,0.032,0.015697391,0.07,0.027574253,"071003A",1.60435,0.415699348887829
"071020A",2.311950854,0.924279286,20.99642367,-9.169411331,1.11,1.119196934,0.62324929,0.844,1.59788,-5.638272164,5.34511675131133,0.85429219852867,440.849806930136,84.0781041570712,1.2321,1.252601777075,0.388439677485504,0.712336,2.5532204944,31.7901129953372,0.0601790285006581,0.035099822,0.039262062,0.011153209,0.001,0.018882369,0.05,0.015510517,"071020A",2.145,0.497620649781288
"071117A",3.901990464,1.053078443,22.04291793,-11.23542972,1.57,1.104952391,0.819543936,0.94,2.0457,-5.619788758,15.2255295811469,1.1089742071113,485.890230868716,126.234880993059,2.4649,1.22091978637662,0.671652263034372,0.8836,4.18488849,31.5820256845432,0.120079755643196,0.101024385,0.117162967,0.089387802,0.01,0.018095603,0.06,0.015373256,"071117A",1.331,0.367542273520577
"080310A",4.32608056,0.113943352,21.32824297,-11.3990271,2.32,1.59590648,2.560456622,0.878,2.09352,-5.638272164,18.7149730116099,0.0129830874649959,454.893948187355,129.937818826534,5.3824,2.54691749290599,6.55593811314365,0.770884,4.3828259904,31.7901129953372,0.0207895824764161,0.04247343,0.03798676,0.065276352,0.0375,0.037764738,0.16,0.066814536,"080310A",2.42,0.534026106056135
"080411A",4.20932562,1.635483747,21.57289018,-10.11350927,1.75,1.28909841,1.748188027,0.91,1.97674,-4.578396073,17.7184221751884,2.67480708670116,465.38959071834,102.283069754376,3.0625,1.66177471066453,3.05616137774615,0.8281,3.9075010276,20.9617106012618,0.00776276208190557,0.06043543,0.049275581,0.010296793,0,0.001645055,0.03,0.009047802,"080411A",1.03,0.307496037913213
"080516A",3.77452827,0.255272505,22.03528962,-11.12090412,1.82,0.94016916,0.763427994,1.48,2.3315,-6.585026652,14.2470636610292,0.065164051808975,485.55398863728,123.674508446233,3.3124,0.883918049415106,0.582822302022864,2.1904,5.43589225,43.3625760075503,0.0159503209161228,0.077803665,0.111057696,0.084888358,0.03,0.066814536,0.27,0.072382414,"080516A",3.2,0.6232492903979
"080607A",3.46298403,1.36361198,22.38386741,-10.0540393,1.31,1.7256074,1.899984563,1.06,2.03418,-4.619788758,11.992258392035,1.85943763199952,501.03752022846,101.083706245944,1.7161,2.97772089893476,3.6099413396383,1.1236,4.1378882724,21.3424481685432,0.0179615292332226,0.11042072,0.069659314,0.037637388,0.02,0,0.04,0.02068069,"080607A",3.036,0.605951157564873
"080810A",3.2687548,0.301029996,21.45079548,-9.931814138,1.34,1.44529526,2.03666881,1.079,2.11482,-5.337242168,10.684757942523,0.09061905849176,460.136626724788,98.6409320717767,1.7956,2.08887838857847,4.14801984162682,1.164241,4.4724636324,28.4861539598773,0.0173110727824034,0.031830706,0.039738688,0.036139295,0.0015,0.018882369,0.06,0.043429448,"080810A",3.35,0.638489256954637
"080928A",4.08450503,0.322219295,21.51035195,-11.1260984,1.77,1.76031774,2.368584372,0.99,2.13864,-5.602059991,16.6831813400953,0.103825274070297,462.695241012869,123.790065606483,3.1329,3.09871854575871,5.61019192728263,0.9801,4.5737810496,31.3830761427629,0.0386609346233468,0.064484035,0.047916769,0.075970735,0,0.034743559,0.12,0.02068069,"080928A",1.692,0.430075055551939
"081007A",3.58176278,0.414973348,21.69605744,-10.58502665,2.51,1.00469263,0.958563883,0.92,2.102,-6.148741651,12.8290246121933,0.172202879550329,470.718908439779,112.04278918121,6.3001,1.00940728077632,0.918844717792038,0.8464,4.418404,37.8070238907422,0.140327919478768,0.053161115,0.084284398,0.039134851,0.005,0.048934589,0.2,0.066814536,"081007A",0.5295,0.184549481320698
"081008A",3.85550833,0.113943352,21.1376737,-10.79317412,1.69,1.47398467,2.268297087,0.84,1.98207,-5.366531544,14.8649444826994,0.0129830874649959,446.801249447672,116.492607584638,2.8561,2.17263080739501,5.14517167489269,0.7056,3.9286014849,28.799660812747,0.0944643171466364,0.06052989,0.056285684,0.063988679,0.025,0.020199743,0.07,0.033407268,"081008A",1.9685,0.472537053262077
"081029A",4.48156171,-0.301029996,21.49704581,-11.86327943,1.43,2.51960373,2.431283332,0.87,1.95818,-5.677780705,20.0843953605381,0.09061905849176,462.122978557239,140.737398834261,2.0449,6.34840295622991,5.91113864046102,0.7569,3.8344689124,32.2371937340703,0.0734942688403521,0.083250805,0.04285341,0.169198521,0.001,0.041361379,0.18,0.173717793,"081029A",3.8479,0.685553652846326
"081221A",2.93195749,1.260071388,21.57331844,-9.354577731,1.21,1.23586126,1.531478917,0.991,2.4947,-4.742321425,8.5963747231671,1.58777990285625,465.408068513644,87.5081245253211,1.4641,1.52735305396879,2.34542767321549,0.982081,6.22352809,22.489612498014,0.0102431891789539,0.0249855,0.031176651,0.012861856,5e-04,0.007198251,0.13,0.011931167,"081221A",2.26,0.513217600067939
"081230A",3.66959365,-0.15490196,20.67248024,-11.32975415,1.97,0.99376498,0.907209226455443,1.02,2.08621,-6.086186148,13.4659175561203,0.0239946172118416,427.35143927319,128.363329099442,3.8809,0.9875688354744,0.823028580565884,1.0404,4.3522721641,37.0416618281071,0.740704337003765,0.0701444,0.08735027,0.040381418,0.02,0.02568693,0.096969697,0.142225970771007,"081230A",2.1,0.491361693834273
"090102A",3.15380077,0.740362689,21.72376179,-9.457174573,1.36,1.42487631,1.432006687,0.667,1.76997,-7.167491087,9.94645929685259,0.548136911263311,471.921826308664,89.4381509041977,1.8496,2.03027249879922,2.05064315161272,0.444889,3.1327938009,51.3729284822244,0.0359770577590371,0.036239983,0.041590346,0.021786596,0.002673458,0.019160051,0.08,0.063170107,"090102A",1.547,0.406028944963615
"090205A",3.70655,-0.301029996,21.81792086,-11.3419886,2.15,1.29089,0.944482672,1.01,2.03416,-6.721246399,13.7385129025,0.09061905849176,476.021670653223,128.64070540253,4.6225,1.6663969921,0.89204751770826,1.0201,4.1378069056,45.1751531560705,0.0885407574117407,0.13445,0.114585,0.084185,0.025,0.068572813,0.23,0.086858896,"090205A",4.6497,0.752025387323213
"090423A",3.91521772,0.230448921,22.7516324,-11.2798407,0.8,1.43267533,0.989894564,0.77,1.8158,-6.229147988,15.328929795002,0.0531067051900642,517.63677686473,127.234806217376,0.64,2.05255860119061,0.97989124783675,0.5929,3.29712964,38.8022846564045,0.047195797531391,0.08569564,0.077643595,0.064053366,0.005,0.029443694,0.5,0.051093469,"090423A",8.26,0.966610986681934
"090424A",2.99599056,1.851258349,21.63012977,-9.050609993,1.19,1.1284106,1.681241237,0.924,1.96315,-4.677780705,8.97595943560911,3.42715747474221,467.86251386704,81.9135412453915,1.4161,1.27331048219236,2.82657209698929,0.853776,3.8539579225,21.8816323240703,0.0205611924585667,0.011257098,0.013394814,0.005546887,0,0,0.15,0.012233647,"090424A",0.544,0.188647295999717
"090519A",3.44619,-0.22184875,22.13069392,-11.76000021,1.02,1.42452,1.806179974,0.63,1.46604,-5.920818754,11.8762255161,0.0492168678765625,489.767613380725,138.2976049392,1.0404,2.0292572304,3.26228609847864,0.3969,2.1492732816,35.0560947177181,0.0559162050267847,0.21145,0.24029,0.3065,0.03,0.036191207,0.2,0.144764827,"090519A",3.85,0.685741738602264
"090529A",4.472757799,-0.397940009,21.1711555256713,-12.1873998,2,0.8815438,1.837651558,0.64,2.22623,-6.167491087,20.0055623285153,0.15835625076292,448.217826292162,148.53271388504,4,0.77711947131844,3.37696324861983,0.4096,4.9561000129,38.0379463082244,0.0664439832683159,0.11547934,0.21900534,0.113675222,0.125,0.10857362,0.3,0.108573621,"090529A",2.625,0.559308010907013
"090530A",3.6839464,0.397940009,20.90942658,-11.16052195,1.61,0.88610581,1.681241237,1.09,2.03975,-5.958607315,13.571461078073,0.15835625076292,437.204119904411,124.557250196432,2.5921,0.785183506515756,2.82657209698929,1.1881,4.1605800625,35.5050011343715,0.323703994876218,0.089175625,0.115365029,0.038514202,0.035,0.039481317,0.17,0.052115338,"090530A",1.266,0.355259905527378
"090618A",3.67275453,1.589949601,21.39200012,-9.640164518,1.42,1.30942861,2.05388479,0.8945,1.82831,-3.978810701,13.4891258376355,2.52793973372006,457.61766913408,92.9327719341062,2.0164,1.71460328468653,4.21844273059334,0.80013025,3.3427174561,15.8309345943921,0.00227692361547263,0.009695255,0.014245613,0.010591616,0.002482662,0.004136138,0.08,0.008931506,"090618A",0.54,0.187520720836463
"090809A",4.56066,0.041392685,21.91952315,-11.8559,1.34,1.6367,0.73239376,0.96,1.94644,-6.468521083,20.7996196356,0.00171335437150922,480.465495123386,140.56236481,1.7956,2.67878689,0.536400619686938,0.9216,3.7886286736,41.8417650012155,0.0978170519448906,0.338,0.237865,0.319405,0.01,0.063866836,0.24,0.078962633,"090809A",2.737,0.572523097849638
"090812A",3.52924,0.556302501,21.77771022,-10.16730017,1.24,1.37252,1.824125834,0.53,1.88559,-5.236572006,12.4555349776,0.309472472618855,474.268662426292,103.373992746882,1.5376,1.8838111504,3.3274350582662,0.2809,3.5554496481,27.4216863740229,0.0954430381608785,0.10615,0.13258,0.08412,0.015,0.014975672,0.05,0.024127471,"090812A",2.452,0.538070787043172
"090927A",4.20121889,0.301029996,21.01785522,-11.6716204,1.8,1.13087741,0.342422681,0.92,2.06549,-6.698970004,17.6502401616928,0.09061905849176,441.750238048881,136.226722761696,3.24,1.27888371644831,0.117253292463228,0.8464,4.2662489401,44.8761991144918,0.0791400972158072,0.076268475,0.093241949,0.074843971,0.01,0.065144172,0.2,0.043429448,"090927A",1.37,0.374748346010104
"091018A",2.89655535,1.012837225,21.19187281,-9.627087997,1.77,1.18074867,0.639486489,0.91,1.98015,-5.853871964,8.39003289561362,1.0258392443457,449.095473195217,92.6808233019815,3.1329,1.39416742170677,0.408942969613547,0.8281,3.9209940225,34.2678169709052,0.0598714492362227,0.024288603,0.034497878,0.016335114,0.002061639,0.031021034,0.24,0.016865805,"091018A",0.971,0.294686624279443
"091020A",2.95265011,0.62324929,21.70587483,-9.71219827,1.53,1.17417264,1.590061231,0.895,2.08587,-5.431798276,8.71814267208301,0.388439677485504,471.145002135627,94.326795235791,2.3409,1.37868138852457,2.52829471832924,0.801025,4.3508536569,29.5044325111566,0.0544128110188212,0.034480687,0.045271255,0.018244861,0.002182887,0.011737689,0.07,0.031021034,"091020A",1.71,0.432969290874406
"091029A",4.30368998,0.255272505,21.45058625,-11.34678749,1.46,1.12123368,1.593286067,1.064,2.11535,-5.619788758,18.5217474439524,0.065164051808975,460.127650468689,128.74958634322,2.1316,1.25716496516634,2.53856049129633,1.132096,4.4747056225,31.5820256845432,0.0535069670717355,0.02563352,0.034224003,0.026782025,0.002,0.018095603,0.27,0.024127471,"091029A",2.752,0.574262829707027
"091127A",3.98466812,1.667452953,20.87872913,-9.844663963,2.05,1.39581701,0.84260924,0.758,1.80187,-5.045757491,15.8775800265443,2.78039935046842,435.921330083911,96.9174085443909,4.2025,1.94830512540534,0.709990331333378,0.574564,3.2467354969,25.4596686579826,0.0093822306004846,0.018562516,0.021935207,0.013587309,0.00244132,0.014476483,0.07,0.025217099,"091127A",0.49,0.173186268412274
"050416A",2.99481,0.688419822,21.75162856,-10.5559552,3.08,0.842217,0.397940009,0.9,2.06183,-6.435333936,8.9688869361,0.473921851322512,473.133345012208,111.428190184407,9.4864,0.709329475089,0.15835625076292,0.81,4.2511429489,41.4135228678333,0.0771432232434421,0.0484,0.070765,0.0149485,0.005,0.043784457,0.22,0.04271749,"050416A",0.6528,0.218220304175545
"050820A",3.750945731,0.389166084,21.61964524,-10.01818139,1.25,1.136499703,1.414973348,0.9,1.96878,-5.463441557,14.0695938769071,0.151450240935895,467.409060303455,100.363958362942,1.5625,1.29163157491909,2.00214957555033,0.81,3.8760946884,29.8491936467546,0.378773543191014,0.266741013,0.238477529,0.012525701,0.0405,0.030552112,0.12,0.040770502,"050820A",2.6147,0.558072259099146
"050922C",2.52429,0.860936621,21.44930866,-9.477555766,1.37,1.22035,0.653212514,1.064,2.2119,-5.790484985,6.3720400041,0.741211865378898,460.072841991951,89.8240632976399,1.8769,1.4892541225,0.4266865884462,1.132096,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",4.25742,0.113943352,21.71466751,-11.59006688,2.4,1.14771,0.602059991,0.73,1.89482,-6.769551079,18.1256250564,0.0129830874649959,471.52678506985,134.329650282873,5.76,1.3172382441,0.36247623276292,0.5329,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
