"","log10PeakFlux","log10NH","PhotonIndex","log10Ta","log10Fa","Alpha","log10T90","Beta","Gamma","log10Fluence","log10PeakFluxSqr","log10NHSqr","PhotonIndexSqr","log10TaSqr","log10FaSqr","AlphaSqr","log10T90Sqr","BetaSqr","GammaSqr","log10FluenceSqr","Response"
"GRB110503A",0.130333768,21.13638759,0.88,2.54166555,-9.08249449,1.14649063,1,0.687,1.90907,-5,0.0169868910810778,446.746880354706,0.7744,6.4600637680568,82.4917061608804,1.3144407646778,1,0.471969,3.6445482649,25,0.417139409727326
"GRB110715A",1.731588765,22.0746007,1.25,2.61109719,-9.075720714,0.95853538,1.11394335230684,0.755,1.85342,-4.928117993,2.99839965107422,487.287996064441,1.5625,6.8178285356259,82.3687064785287,0.918790074711744,1.2408697921486,0.570025,3.4351656964,24.2863469529303,0.260071387985075
"GRB110731A",1.041392685,21.95954126,1.15,5.08952072,-12.08512818,1.42351927,1.58883172559421,0.39,1.85145,-5.22184875,1.08449872437151,482.221452349642,1.3225,25.9032211593093,146.05032312703,2.02640711206133,2.52438625225467,0.1521,3.4278671025,27.2677043678766,0.583198773968623
"GRB110808A",-0.397940009,22.23063027,2.32,4.50711,-12.08440021,0.807091,1.68124123737559,1.4,2.33721,-6.48148606,0.15835625076292,494.20092220144,5.3824,20.3140405521,146.032728435448,0.651395882281,2.8265720982522,1.96,5.4625505841,42.0096615459743,0.370698092575577
"GRB110818A",0.204119983,22.06812647,1.58,3.84627415,-11.28316228,1.37167718,2.01283722470517,0.83,1.95985,-5.397940009,0.0416649674599203,487.002205895915,2.4964,14.7938248369582,127.309751036815,1.88149828613275,4.05151369315881,0.6889,3.8410120225,29.1377563407629,0.639486489268586
"GRB111123A",-0.045757491,21.35034301,1.68,4.42202873,-11.60730305,1.46723371,2.46239799789896,1.25,2.55463,-5.13667714,0.00209374798261508,455.837146644656,2.8224,19.5543380889454,134.729484094539,2.15277475976036,6.06340390005681,1.5625,6.5261344369,26.3854520405986,0.618215503279417
"GRB111209A",-0.301029996,21.14009932,1.48,4.13326,-9.057000407,2.77382,3.14612803567824,0.2529,1.81212,-4.443697499,0.09061905849176,446.903799259465,2.1904,17.0838382276,82.0292563723982,7.6940773924,9.89812161688062,0.06395841,3.2837788944,19.7464474626189,0.224533062606086
"GRB111228A",1.093421685,21.41342718,2.27,4.10627835,-10.65757732,1.15297662,2.00518051250378,0.99,2.03824,-5.070581074,1.19557098122824,458.534863593163,5.1529,16.8615218876787,113.583954331778,1.32935508626662,4.02074888772492,0.9801,4.1544222976,25.710792428007,0.234010817587179
"GRB120118B",0.342422681,21.451745,2.08,3.68307,-10.95467702,1.0241,1.36660971039243,1.01,2.20884,-5.744727495,0.117253292463228,460.177363545025,4.3264,13.5650046249,120.004948612516,1.04878081,1.86762210053888,1.0201,4.8789741456,33.001893991809,0.595826777073223
"GRB120327A",0.591064607,22.16619025,1.52,3.48517215,-10.15181088,1.44859414,1.79865064544527,0.63,1.75797,-5.443697499,0.349357369648064,491.339990199195,2.3104,12.1464249151356,103.059264143286,2.09842498244234,3.23514414436069,0.3969,3.0904585209,29.6338424606189,0.581266805273671
"GRB120404A",0.079181246,21.70983536,1.85,3.79948,-11.02687215,1.90651,1.58771096501891,0.69,1.89579,-5.795880017,0.00626966971811252,471.316951358306,3.4225,14.4360482704,121.591909412446,3.6347803801,2.52082610844128,0.4761,3.5940197241,33.5922251714599,0.588383768378728
"GRB120422A",-0.22184875,21.29748256,1.19,5.23266697,-12.73992861,0.86153199,0.728353782021228,1.1,2.32199,-6.638272164,0.0492168678765625,453.582763393504,1.4161,27.380803618929,162.305780987897,0.74223736979336,0.530499231784627,1.21,5.3916375601,44.0666573233372,0.108226656374928
"GRB120729A",0.462397998,21.34792103,1.62,3.52138487,-10.29756946,2.26312734,1.85430604180108,0.645,1.8831,-5.619788758,0.213811908554408,455.733732303116,2.6244,12.4001514026649,106.039936783525,5.12174535705548,3.43845089665999,0.416025,3.54606561,31.5820256845432,0.255272505103306
"GRB120802A",0.477121255,22.12127744,1.21,3.53838419,-11.17198494,0.54215516,1.69897000433602,0.91,2.03526,-5.721246399,0.227644691972775,489.350915577453,1.4641,12.520162676042,124.813247499587,0.293932217514626,2.88649907563354,0.8281,4.1422832676,32.7326603580705,0.680879174426811
"GRB120811C",0.612783857,21.91722026,1.4,3.15909591,-10.14327111,1.01613299,1.42813479402879,0.65,1.92121,-5.522878745,0.375504055399796,480.364543925354,1.96,9.97988696857873,102.885948810961,1.03252625336634,2.03956898991565,0.4225,3.6910478641,30.5021896319728,0.564784384503987
"GRB120907A",0.462397998,21.0438101,1.73,3.2113827,-10.37675071,1.05329104,1.22788670461367,0.78,1.82021,-6.173925197,0.213811908554408,442.841943524862,2.9929,10.3129788458593,107.676955297485,1.10942201494428,1.50770575936702,0.6084,3.3131644441,38.1173523381515,0.294466226161593
"GRB120922A",0.301029996,21.0163605,1.58,3.59799,-10.59516628,1.06622,2.2380461031288,1.17,2.06954,-5.207608311,0.09061905849176,441.68740866596,2.4964,12.9455320401,112.257548500849,1.1368250884,5.00885035973001,1.3689,4.2829958116,27.1191843207963,0.612783856719735
"GRB121024A",0.113943352,21.94617755,1.41,4.17178823,-11.31158018,1.30353551,1.83884909073726,0.87,2.00683,-5.958607315,0.0129830874649959,481.634709056124,1.9881,17.4038170359665,127.951846168569,1.69920482583096,3.38136597850525,0.7569,4.0273666489,35.5050011343715,0.5182506513085
"GRB121027A",0.113943352,22.07736427,1.82,5.40919042,-11.92081875,1.50995764,1.79657433321043,1.16,2.37144,-5.698970004,0.0129830874649959,487.410013110273,3.3124,29.2593409998198,142.105919670352,2.27997207459437,3.2276793347505,1.3456,5.6237276736,32.4782591064918,0.442949869577862
"GRB121128A",1.11058971,22.04029767,1.32,3.23392922,-9.617982957,1.54546584,1.36735592102602,0.9455,1.98504,-5.161150909,1.23340950395788,485.774721382207,1.7424,10.4582981999698,92.5055961611425,2.38846466260691,1.86966221476492,0.89397025,3.9403838016,26.6374787054715,0.505149978319906
"GRB121211A",0,21.66138196,2.36,4.20933518,-11.2823295,1.15615612,2.26007138798507,0.95,2.0682,-5.886056648,0,469.215468417013,5.5696,17.7185026575856,127.29095894657,1.33669697381345,5.10792267878876,0.9025,4.27745124,34.645662863465,0.305995882770805
"GRB121229A",-1,21.69605744,2.43,4.70907,-12.35951856,0.900754,2,0.99,2.18362,-6.337242168,1,470.718908439779,5.9049,22.1753402649,152.757699034984,0.811357768516,4,0.9801,4.7681963044,40.1606382958773,0.569022586029564
"GRB130408A",0.69019608,20.06405721,1.28,3.58393,-10.32975415,1.39277,1.44715803134222,0.945,2.03183,-5.638272164,0.476370628847366,402.566391726153,1.6384,12.8445542449,106.703820799442,1.9398082729,2.09426636767829,0.893025,4.1283331489,31.7901129953372,0.677333151419902
"GRB130418A",-0.22184875,21.12149747,2.07,2.59006,-9.247183569,1.28449,2.47712125471966,0.198,1.68684,-5.744727495,0.0492168678765625,446.117655375216,4.2849,6.7084108036,85.5104039587836,1.6499145601,6.1361297105839,0.039204,2.8454291856,33.001893991809,0.345961541813141
"GRB130420A",0.531478917,20.79265849,1.52,3.56731,-10.8728952,0.914676,2.09166695759568,1.17,2.29559,-5.148741651,0.282469839215493,432.334647081769,2.3104,12.7257006361,118.219850030183,0.836632184976,4.37507066149757,1.3689,5.2697334481,26.5095405887422,0.361160995195026
"GRB130505A",1.477121255,20.71960885,1.18,3.24559,-8.91721463,1.3304,1.94448267215017,0.724,1.92439,-4.677780705,2.18188720197277,429.302190896998,1.3924,10.5338544481,79.516716757486,1.76996416,3.78101286229227,0.524176,3.7032768721,21.8816323240703,0.514547752660286
"GRB130511A",0.113943352,21.01365445,1.35,2.65954,-10.51570016,1.16497,0.734799829588847,0.65,2.06879,-6.657577319,0.0129830874649959,441.573673344005,1.8225,7.0731530116,110.579949855024,1.3571551009,0.539930789563799,0.4225,4.2798920641,44.3233357584632,0.362350507594848
"GRB130514A",0.447158031,21.19799139,1.8,3.68772,-10.7212464,1.17745,2.3096301674259,0.65,2.0604,-5.040958608,0.199950304687797,449.354838970514,3.24,13.5992787984,114.945124369513,1.3863885025,5.33439151028379,0.4225,4.24524816,25.4112636875693,0.662757831681574
"GRB130604A",-0.096910013,21.35024026,1.51,2.071571247,-8.316052869,1.742079764,1.57634135020579,0.98,2.08823,-5.853871964,0.00939155061966017,455.832759159725,2.2801,4.29140743139714,69.1567353200031,3.0348419041383,2.48485205236861,0.9604,4.3607045329,34.2678169709052,0.313867220369153
"GRB130606A",0.414973348,20.24962877,1.52,3.30222,-10.18045606,1.37571,2.44182077228928,0.44,1.86465,-5.537602002,0.172202879550329,410.047465322812,2.3104,10.9046569284,103.641685589591,1.8925780041,5.96248868398342,0.1936,3.4769196225,30.6650359325544,0.839666556882433
"GRB130831A",1.133538908,22.17059025,1.93,3.31959,-9.89279003,1.28481,1.51188336097887,1.01,1.79449,-5.187086643,1.28491045594983,491.535072033395,3.7249,11.0196777681,97.8672945776674,1.6507367361,2.28579129720476,1.0201,3.2201943601,26.905867841989,0.16999753706657
"GRB130925A",0.86332286,21.99154725,1.85,5.84588,-10.62525165,1.38344,2.25285303097989,1.5915,2.69002,-4.387216143,0.74532636059858,483.628150448983,3.4225,34.1743129744,112.895972625828,1.9139062336,5.07534677919528,2.53287225,7.2362076004,19.2476654853998,0.129367595722986
"GRB131030A",1.44870632,20.84178667,1.3,2.84594,-9.294136288,1.11188,1.61384182187607,0.693,2.09466,-4.537602002,2.09875000160794,434.38007159779,1.69,8.0993744836,86.3809693399184,1.2362771344,2.60448542603627,0.480249,4.3876005156,20.5898319285544,0.36078268987328
"GRB131105A",0.544068044,21.32749584,1.45,3.9488,-10.91009489,1.19347,2.05037975626146,0.94,2.24976,-5.148741651,0.296010036501986,454.862078805217,2.1025,15.59302144,119.030170508804,1.4243706409,4.2040571448868,0.8836,5.0614200576,26.5095405887422,0.429106008332697
"GRB131117A",-0.15490196,22.01669496,0.49,2.87134,-10.838632,0.951056,1.04139268515823,0.86,2.15896,-6.602059991,0.0239946172118416,484.734856961689,0.2401,8.2445933956,117.475943631424,0.904507515136,1.08449872470107,0.7396,4.6611082816,43.5871961247629,0.702602841340427
"GRB140206A",1.28780173,22.00531353,1.04,3.59073,-9.730487056,1.22509,1.97127584873811,0.672,1.88134,-4.795880017,1.65843329579099,484.233823553601,1.0816,12.8933419329,94.6823783469835,1.5008455081,3.88592847181816,0.451584,3.5394401956,23.0004651374599,0.571708831808688
"GRB140213A",1.371067862,20.99187128,1.8,3.829176603,-10.12551818,1.108879519,1.77815125038364,0.83,1.96657,-4.920818754,1.87982708220925,440.658659836089,3.24,14.6625934569626,102.526118413511,1.22961378765767,3.1618218692409,0.6889,3.8673975649,24.2144572097181,0.343920385393226
"GRB140419A",0.69019608,22.04094236,1.21,3.68383,-10.00568285,1.36898,1.97634997900327,0.678,1.87322,-4.795880017,0.476370628847366,485.803140116842,1.4641,13.5706034689,100.113689294784,1.8741062404,3.90595923950623,0.459684,3.5089531684,23.0004651374599,0.695131297704026
"GRB140423A",0.322219295,21.81946365,1.33,3.90552,-10.85078089,1.18974,2.12710479836481,0.77,2.06486,-5.026872146,0.103825274070297,476.088993973671,1.7689,15.2530864704,117.739445922789,1.4154812676,4.5245748232266,0.5929,4.2636468196,25.2694435722306,0.629409599102719
"GRB140430A",0.397940009,21.67796993,2,4.14388,-11.36251027,0.875171,2.23954972084047,1.03,2.15785,-5.958607315,0.15835625076292,469.934380285984,4,17.1717414544,129.106639635855,0.765924279241,5.01558295211663,1.0609,4.6563166225,35.5050011343715,0.414973347970818
"GRB140506A",1.037426498,21.81764402,1.68,3.30686,-9.903089987,0.948932,2.04571405894087,0.9,1.74751,-5.552841969,1.07625373875254,476.009590583442,2.8224,10.9353230596,98.0711912906197,0.900471940624,4.18494601094833,0.81,3.0537912001,30.8340539326878,0.276231957921834
"GRB140509A",0.204119983,20.90144742,1.59,3.58709,-11.09770006,1.40649,1.3654879848909,0.86,1.93407,-5.920818754,0.0416649674599203,436.870504251025,2.5281,12.8672146681,123.158946621724,1.9782141201,1.86455743688141,0.7396,3.7406267649,35.0560947177181,0.531478917042255
"GRB140512A",0.832508913,21.32824297,1.45,3.53686,-9.504455662,1.25134,2.18977095634687,0.871,1.84304,-4.853871964,0.693071090224441,454.893948187355,2.1025,12.5093786596,90.3346774309239,1.5658517956,4.79509684126029,0.758641,3.3967964416,23.5600730429052,0.236789099409293
"GRB140518A",0,22.46148952,0.92,3.77824,-11.31158018,1.64981,1.78175537465247,0.94,1.93772,-6,0,504.51851145707,0.8464,14.2750974976,127.951846168569,2.7218730361,3.17465221510296,0.8836,3.7547587984,36,0.756407872548958
"GRB140614A",-0.420216403,21.3989672,1.5,3.70006,-10.9589,1.35595,2.85733249643127,0.83,1.77015,-5.886056648,0.176581825350258,457.915797226676,2.25,13.6904440036,120.09748921,1.8386004025,8.16434899516215,0.6889,3.1334310225,34.645662863465,0.718750734739665
"GRB140629A",0.62324929,21.74269921,1.86,2.85608,-9.847711656,1.16056,1.6232492903979,0.815,1.95996,-5.619788758,0.388439677485504,472.744968936535,3.4596,8.1571929664,96.9774248597183,1.3468995136,2.63493825877729,0.664225,3.8414432016,31.5820256845432,0.515211304327802
"GRB141004A",0.785329835,21.49730845,1.86,3.30337,-10.61083392,1.54959,0.593286067020457,1.08,1.79496,-6.173925197,0.616742949741127,462.134270594441,3.4596,10.9122533569,112.589796477823,2.4012291681,0.351988357320602,1.1664,3.2218814016,38.1173523381515,0.196728722623287
"GRB141121A",-0.045757491,21.59590717,1.73,5.76634,-12.65757732,2.33322,2.74028371968188,0.82,1.93447,-5.27572413,0.00209374798261508,466.383206495257,2.9929,33.2506769956,160.214263611778,5.4439155684,7.50915486435356,0.6724,3.7421741809,27.8332650958643,0.392696953259666
"GRB141220A",0.949390007,21.48574413,0.62,2.77561,-9.872830386,1.42066,0.857935264719429,1.1,1.80565,-5.585026652,0.90134138539146,461.63720081983,0.3844,7.7040108721,97.4727798307249,2.0182748356,0.736052918449197,1.21,3.2603719225,31.1925227035503,0.365394376854778
"GRB150120B",0.079181246,21.52664292,2.2,3.39431,-10.79048499,1.17705,1.38560627359831,0.92,2.01678,-6.26760624,0.00626966971811252,463.396355405186,4.84,11.5213403761,116.434566319415,1.3854467025,1.91990474543499,0.8464,4.0674015684,39.2828879796869,0.653212513775344
"GRB150314A",1.58546073,22.01715025,1.08,2.49217,-8.609064893,1.19079,1.16996817399689,0.73,1.84772,-4.657577319,2.51368572637213,484.754905131075,1.1664,6.2109113089,74.1159983318851,1.4179808241,1.36882552816562,0.5329,3.4140691984,21.6930264824632,0.440594261839831
"GRB150403A",1.245512668,21.79039707,1.23,3.19694,-8.821023053,1.24471,1.61172330800734,0.679,1.70996,-4.769551079,1.55130180614848,474.821404468265,1.5129,10.2204253636,77.8104477015574,1.5493029841,2.59765202157412,0.461041,2.9239632016,22.7486174951901,0.48572142648158
"GRB150821A",-0.337242168,22.340573,2.1,2.95174,-8.853871964,1.82628,2.23578087032756,0.848,2.21622,-6.102372909,0.11373227987734,499.101201968329,4.41,8.7127690276,78.3910487549052,3.3352986384,4.99871610012266,0.719104,4.9116310884,37.2389551204971,0.244277120801843
"GRB150910A",0.041392685,20.842422,1.42,3.85419,-9.970616222,2.03808,2.04999285692014,0.6645,1.78547,-5.318758763,0.00171335437150922,434.406554826084,2.0164,14.8547805561,99.4131878464096,4.1537700864,4.2024707134236,0.44156025,3.1879031209,28.2891947789893,0.372727940885595
"GRB151021A",0.986771734,22.33647975,1.57,3.15765,-9.642065153,1.33346,2.04218159451577,1.27,1.96079,-4.552841969,0.973718455021367,498.91832762216,2.4649,9.9707535225,92.9694204146969,1.7781155716,4.17050566497897,1.6129,3.8446974241,20.7283699946878,0.52244423350632
"GRB151027A",0.832508913,21.65076489,1.72,3.99907,-9.935542011,1.74508,2.11290649025331,0.9235,2.00612,-5.107905397,0.693071090224441,468.755620322057,2.9584,15.9925608649,98.7149950523459,3.0453042064,4.46437383655456,0.85285225,4.0245174544,26.0906975447017,0.257678574869184
"GRB151029A",0.255272505,21.55195354,0.49,2.7098,-10.76639985,1.23481,0.951823035315912,1.25,2.307153,-6.408935393,0.065164051808975,464.486701390319,0.2401,7.34301604,115.91536573008,1.5247557361,0.905967090557996,1.5625,5.322954965409,41.0744528716481,0.384353414137506
"GRB151031A",0.230448921,21.98623592,2.41,3.69323,-11.5214335,0.897942,0.698970004336019,1.24,2.12551,-6.494850022,0.0531067051900642,483.394569929898,5.8081,13.6399478329,132.743429894922,0.806299835364,0.488559066961494,1.5376,4.5177927601,42.1830768082734,0.335858911319818
"GRB151215A",0.204119983,21.45079548,1.99,3.06337,-10.72815839,1.07478,1.25042000230889,1.015,2.20942,-6.508638306,0.0416649674599203,460.136626724788,3.9601,9.3842357569,115.093382440927,1.1551520484,1.56355018217416,1.030225,4.8815367364,42.3623725983306,0.555094448578319
"GRB160117B",-0.096910013,20.95374423,1.73,4.10299,-11.74958,0.973333,1.77815125038364,0.64,1.83834,-6.4710833,0.00939155061966017,439.059397256258,2.9929,16.8345269401,138.0526301764,0.947377128889,3.1618218692409,0.4096,3.3794939556,41.8749190755389,0.271841606536499
"GRB160121A",0.079181246,21.79728278,1.77,3.8244,-11.17263073,0.798663,1.07918124604762,1.02,2.2054,-6.214670165,0.00626966971811252,475.121536591284,3.1329,14.62603536,124.82767742894,0.637862587569,1.16463216182089,1.0404,4.86378916,38.6221252597411,0.471291711058939
"GRB160203A",0.113943352,22.0158332,1.93,3.66139836,-11.36754271,1.146279559,1.30535136944662,0.61,1.75592,-5.920818754,0.0129830874649959,484.696911490222,3.7249,13.4058379506107,129.221027263674,1.31395682738123,1.70394219771617,0.3721,3.0832550464,35.0560947177181,0.655138434811382
"GRB160227A",-0.22184875,21.4198963,0.75,4.47751,-10.99567863,1.10229,2.50037371435337,0.679,1.72551,-5.508638306,0.0492168678765625,458.811957502754,0.5625,20.0480958001,120.904948534239,1.2150432441,6.25186871142927,0.461041,2.9773847601,30.3450959863305,0.528916700277655
"GRB160804A",0.462397998,21.30214687,1.4,4.38419,-11.5214335,0.948229,2.15896526038341,0.92,1.87827,-4.943095149,0.213811908554408,453.781461271051,1.96,19.2211219561,132.743429894922,0.899138236441,4.66113099554241,0.8464,3.5278981929,24.4341896520673,0.239549720840473
"GRB161108A",-0.22184875,21.16074757,1.85,4.69106,-11.81247928,0.883711,2.02160271602824,0.84,2.00325,-5.958607315,0.0492168678765625,447.777237721261,3.4225,22.0060439236,139.534666740429,0.780945131521,4.08687754145276,0.7056,4.0130105625,35.5050011343715,0.334252642334231
"GRB161117A",0.832508913,21.87736847,1.19,4.08464,-10.74958,1.141,2.09933527768596,1.375,1.92624,-4.698970004,0.693071090224441,478.61925117215,1.4161,16.6842839296,115.5534701764,1.301881,4.40720860813679,1.890625,3.7104005376,22.0803190984918,0.406369835469268
"GRB161129A",0.531478917,21.51361441,1.57,3.70506,-10.43651891,2.32574,1.55059520748933,0.71,1.74506,-5.443697499,0.282469839215493,462.83560498216,2.4649,13.7274696036,108.920926958788,5.4090665476,2.40434549748888,0.5041,3.0452344036,29.6338424606189,0.216165902285993
"GRB161219B",0.72427587,21.16590877,1.29,4.0135,-10.13667714,0.871656,0.841359470454855,0.73,1.86204,-5.823908741,0.524575535864257,447.995694059963,1.6641,16.10818225,102.752223440599,0.759784182336,0.707885758524074,0.5329,3.4671929616,33.9179130234962,0.0597526942092988
"GRB170202A",0.672097858,21.7153121,1.68,3.77629,-10.65364703,1.1958,1.66464197555613,1.04,1.99768,-5.48148606,0.451715530728188,471.554779600406,2.8224,14.2603661641,113.500195039828,1.42993764,2.77103290678341,1.0816,3.9907253824,30.0466894259743,0.666985718329661
"GRB170405A",0.462397998,21.67796993,1.59,3.6300738,-10.31069114,1.81152426,2.21669359916975,0.612,1.8473,-5.431798276,0.213811908554408,469.934380285984,2.5281,13.1774357934464,106.310351784474,3.28162014456855,4.91373051260014,0.374544,3.41251729,29.5044325111566,0.65417654187796
"GRB170519A",-0.15490196,21.33992622,1.94,4.1513,-11.06348626,1.37345,2.33525725643453,0.975,1.97351,-5.958607315,0.0239946172118416,455.392451075043,3.7636,17.23329169,122.400728225209,1.8863649025,5.45342645373013,0.950625,3.8947417201,35.5050011343715,0.259593878885949
"GRB170531B",-0.096910013,22.04094236,1.95,3.80257,-11.39577395,1.02082,2.21518796949713,0.99,2.06685,-5.698970004,0.00939155061966017,485.803140116842,3.8025,14.4595386049,129.863663919499,1.0420734724,4.90705774020482,0.9801,4.2718689225,32.4782591064918,0.527114111639805
"GRB170705A",1.1430148,21.08891889,1.65,3.63746,-10.18641901,0.774169,2.33705972632052,0.66,1.89159,-5.022276395,1.30648283301904,444.742499948999,2.7225,13.2311152516,103.763132247289,0.599337640561,5.46184816438934,0.4356,3.5781127281,25.2232601877742,0.478566495593843
"GRB170714A",-0.397940009,21.06857915,1.76,4.28080232,-10.075204,1.45203,3,0.6815,1.84715,-5.552841969,0.15835625076292,443.885027399815,3.0976,18.3252685029174,101.509735641616,2.1083911209,9,0.46444225,3.4119631225,30.8340539326878,0.253580289562183
"GRB170903A",0.591064607,21.73970839,1.94,4.41384,-11.26042766,0.971187,1.46538285144842,1.14,2.20256,-5.619788758,0.349357369648064,472.614920882236,3.7636,19.4819835456,126.797231086093,0.943204188969,2.1473469013191,1.2996,4.8512705536,31.5820256845432,0.27554168840131
"GRB171205A",0,20.842422,1.41,5.48376,-12.42945706,1.13263,2.27737997466725,0.67,1.66173,-5.443697499,0,434.406554826084,1.9881,30.0716237376,154.491402806384,1.2828507169,5.1864595490154,0.4489,2.7613465929,29.6338424606189,0.0156949885265181
"GRB171222A",-0.15490196,20.02880298,2.07,4.78231,-12.10957898,0.718496,2.24254142829838,1.34,1.99001,-5.721246399,0.0239946172118416,401.152948811657,4.2849,22.8704889361,146.641903072858,0.516236502016,5.02899205763454,1.7956,3.9601398001,32.7326603580705,0.532627001228891
"GRB180205A",0.531478917,21.4933967,2.04,3.21372,-10.30627305,1.09633,1.19033169817029,1.03,1.88733,-6,0.282469839215493,461.966101703571,4.1616,10.3279962384,106.219264181156,1.2019394689,1.41688955166897,1.0609,3.5620145289,36,0.381836799998343
"GRB180329B",0.146128036,21.41988474,0.97,4.02296,-11.14935376,1.50063,2.32221929473392,0.77,1.86768,-5.48148606,0.0213534029052173,458.811462274885,0.9409,16.1842071616,124.308089265626,2.2518903969,5.3927024528345,0.5929,3.4882285824,30.0466894259743,0.476831628512261
