"","log10NH","log10PeakFlux","PhotonIndex","log10Ta","log10T90","log10Fa","Alpha","Beta","Gamma","log10Fluence","log10NHSqr","log10PeakFluxSqr","PhotonIndexSqr","log10TaSqr","log10T90Sqr","log10FaSqr","AlphaSqr","BetaSqr","GammaSqr","log10FluenceSqr","log10T90Err","log10FaErr","log10TaErr","AlphaErr","BetaErr","log10FluenceErr","PhotonIndexErr","log10PeakFluxErr","GRB","Redshift_crosscheck","log10z"
"050922C",21.44930866,0.860936621,1.37,2.52429,0.653212514,-9.477555766,1.22035,1.064,2.2119,-5.790484985,460.072841991951,0.741211865378898,1.8769,6.3720400041,0.4266865884462,89.8240632976399,1.4892541225,1.132096,4.89250161,33.5297163615105,0.0434736058796182,0.03194,0.034305,0.013275,0.013,0.014476483,0.06,0.019142456,"050922C",2.198,0.504878459410216
"051016B",21.71466751,0.113943352,2.4,4.25742,0.602059991,-11.59006688,1.14771,0.73,1.89482,-6.769551079,471.52678506985,0.0129830874649959,5.76,18.1256250564,0.36247623276292,134.329650282873,1.3172382441,0.5329,3.5903428324,45.8268218111901,0.0509829166339321,0.04535,0.058175,0.04854,0.005,0.056202815,0.23,0.053451629,"051016B",0.9364,0.286995073968852
"051109A",21.97057233,0.595496222,1.51,3.91123,1.57054294,-10.51999306,1.22299,1.06,2.06584,-5.657577319,482.706048507762,0.354615750416273,2.2801,15.2977201129,2.46660512638384,110.670253982448,1.4957045401,1.1236,4.2676949056,32.0081811204632,0.0827679937346041,0.04815,0.04637,0.019155,0.054794381,0.05369459,0.2,0.076056648,"051109A",2.346,0.524525936626376
"060223A",22.49782636,0.130333768,1.74,2.78682,1.053078443,-10.9636,1.1892,0.81,2.01015,-6.171984936,506.152190924711,0.0169868910810778,3.0276,7.7663657124,1.1089742071113,120.20052496,1.41419664,0.6561,4.0407030225,38.0933980502109,0.042104904450281,0.1982,0.23477,0.18005,0.045,0.030974941,0.12,0.057905931,"060223A",4.41,0.73319726510657
"060502A",21.45692297,0.227886705,1.46,3.3865,1.45331834,-10.55284197,0.897152,0.87,2.02719,-5.63638802,460.399543340514,0.051932350315757,2.1316,11.46838225,2.11213419738036,111.362473643793,0.804881711104,0.7569,4.1094992961,31.7688699119995,0.150287880735964,0.05675,0.075085,0.0205255,0.015,0.019176639,0.08,0.053965586,"060502A",1.5026,0.398391440229475
"060510B",22.00215742,-0.244125144,1.78,4.43617,2.43964843,-12.2656,1.00735,1.38,2.1317,-5.390405591,484.094931134461,0.0595970859330207,3.1684,19.6796042689,5.95188446200147,150.44494336,1.0147540225,1.9044,4.54414489,29.0564724354841,0.0335971369822932,0.2206,0.31628,0.2313695,0.03,0.018780302,0.08,0.083811216,"060510B",4.9,0.770852011642144
"060912A",21.36738202,0.933487288,1.74,2.455171016,0.698970004,-10.1079054,1.045731532,0.63,1.8948,-5.869666232,456.565014388619,0.871398516857595,3.0276,6.02786471780647,0.48855906649176,102.169751575349,1.09355443701907,0.3969,3.59026704,34.4529816750811,0.0503781599397554,0.147419953,0.156564864,0.028937785,0.0785,0.019945376,0.09,0.022271512,"060912A",0.937,0.287129620719111
"061222A",22.56660835,0.930949031,1.35,3.92091,1.853698212,-9.954677021,1.35061,0.86,1.92748,-5.097453221,509.25181242229,0.866666098319839,1.8225,15.3735352281,3.436197061172,99.0955945924254,1.8241473721,0.7396,3.7151791504,25.9840293402833,0.0973208922530927,0.02311,0.024435,0.018075,0.005,0.008588051,0.04,0.013237581,"061222A",2.088,0.489677291663699
"070721B",21.89473409,0.176091259,1.34,3.94739,2.531478917,-10.50863831,2.5054,0.52,1.52512,-5.443697499,479.379380871808,0.0310081314962051,1.7956,15.5818878121,6.40838550721549,110.4314791304,6.27702916,0.2704,2.3259910144,29.6338424606189,0.0272330828957319,0.3648,0.10084,0.09144,0,0.024127471,0.11,0.086858896,"070721B",3.626,0.6652056284346
"070810A",21.93100401,0.278753601,2.04,3.36583,1.041392685,-10.77728353,1.36994,1.02,2.17076,-6.161150909,480.968936886636,0.0777035700704672,4.1616,11.3288115889,1.08449872437151,116.149840286009,1.8767356036,1.0404,4.7121989776,37.9597805234715,0.197037086589132,0.06175,0.07187,0.077915,0.01,0.037764738,0.14,0.045715209,"070810A",2.17,0.501059262217751
"080319B",20.8771334,1.394451681,1.04,5.36799912,1.68090255756894,-12.15181088,1.42250979,0.73,1.81426,-4.091514981,435.854699001396,1.94449549064373,1.0816,28.8154145523208,2.82543340804182,147.666507663286,2.02353410264584,0.5329,3.2915393476,16.7404948397474,0.00162180613819454,0.097779455,0.087626454,0.075139905,0,0.00536166,0.02,0.008755937,"080319B",0.937,0.287129620719111
"080905B",22.33533151,-0.301029996,1.78,3.67820615,2.10720997,-10.11125904,1.36946226,0.375,1.86248,-5.744727495,498.867033661599,0.09061905849176,3.1684,13.5292004818978,4.4403338576674,102.237559373982,1.87542688156431,0.140625,3.4688317504,33.001893991809,0.0951998384562338,0.03236457,0.038825489,0.033301752,0.00558525,0.048254942,0.15,0.086858896,"080905B",2.374,0.528145078253106
"081028A",20.90308999,-0.301029996,1.25,4.75426,2.414973348,-11.3994,2.20023,0.945,2.51,-5.431798276,436.939171130038,0.09061905849176,1.5625,22.6029881476,5.83209627155033,129.94632036,4.8410120529,0.893025,6.3001,29.5044325111566,0.0544346314312377,0.0572,0.03025,0.054715,5e-04,0.023475377,0.38,0.086858896,"081028A",3.038,0.60616631460762
"081203A",21.66176916,0.462397998,1.54,4.02089,2.46834733,-10.9243983,1.86904,0.82,2.03508,-5.113509275,469.232243141127,0.213811908554408,2.3716,16.1675563921,6.09273854151813,119.342478217043,3.4933105216,0.6724,4.1415506064,26.147977105511,0.122562443871835,0.05695,0.03932,0.064395,0.0325,0.016920564,0.06,0.029951344,"081203A",2.1,0.491361693834273
"090418A",22.02365981,0.278753601,1.48,3.52813657,1.748188027,-10.04720756,1.52909667,0.98,2.03408,-5.337242168,485.041591426609,0.0777035700704672,2.1904,12.4477476565714,3.05616137774615,100.946379753721,2.33813662620509,0.9604,4.1374814464,28.4861539598773,0.0320230997079162,0.028659405,0.030759021,0.042154514,0.003531332,0.018882369,0.07,0.068572813,"090418A",1.608,0.416307587059883
"090516A",21.19589965,0.204119983,1.84,4.33113504,2.322219295,-11.27490548,1.76098314,0.502,2.09,-5.045757491,449.26616197287,0.0416649674599203,3.3856,18.7587307347158,5.3927024540703,127.123493582934,3.10106161936426,0.252004,4.3681,25.4596686579826,0.132356413451328,0.03779605,0.029715315,0.053351589,0.479087085,0.028952965,0.11,0.05428681,"090516A",4.109,0.708335902682263
"091109A",21.89596701,0.113943352,1.31,3.37933883,1.681241237,-11.14630179,1.06152816,0.89,1.96352,-5.795880017,479.433371303008,0.0129830874649959,1.7161,11.4199309279458,2.82657209698929,124.240043593757,1.12684203447299,0.7921,3.8554107904,33.5922251714599,0.15117163716416,0.05941034,0.074268877,0.033719571,0.03,0.05428681,0.25,0.133629071,"091109A",3.076,0.610234175334389
"091208B",21.91211094,1.181843588,1.74,3.31388094,1.173186268,-10.18045606,1.1606541,0.86,2.03333,-5.48148606,480.140605846868,1.39675426649671,3.0276,10.9818068844953,1.37636601942377,103.641685589591,1.34711793984681,0.7396,4.1344308889,30.0466894259743,0.0844607534610546,0.036806415,0.052928177,0.030502454,0.034663611,0.026320878,0.11,0.028572005,"091208B",1.063,0.314499227973151
"100316B",21.41315218,0.113943352,2.23,3.5543767,0.579783597,-11.1481304,1.36246063,1.08,2.23535,-6.698970004,458.523086283839,0.0129830874649959,4.9729,12.6335937255029,0.336149019350258,124.280811415404,1.8562989683,1.1664,4.9967896225,44.8761991144918,0.0508837165764397,0.10431242,0.207348761,0.13322096,0.02,0.043429448,0.18,0.033407268,"100316B",1.18,0.338456493604605
"100418A",21.72376179,0,2.16,5.54363,0.84509804,-12.48811664,1.81145,0.84,2.26662,-6.468521083,471.921826308664,0,4.6656,30.7318335769,0.714190697211842,155.953057214245,3.2813511025,0.7056,5.1375662244,41.8417650012155,0.059763875267383,0.10745,0.075475,0.16786,0.01,0.063866836,0.25,0.086858896,"100418A",0.6235,0.21045229296202
"100425A",20.53466438,0.146128036,2.42,3.60199415,1.568201724,-11.50168945,0.86819371,1.46,2.17077,-6.327902142,421.672441199241,0.0213534029052173,5.8564,12.9743618566342,2.45925664715657,132.288860204241,0.753760318083564,2.1316,4.7122423929,40.0423455187282,0.0442926372724909,0.070859065,0.115125536,0.055076895,0.035,0.083162773,0.32,0.062042069,"100425A",1.755,0.440121603187804
"100513A",22.05240534,-0.22184875,1.62,3.74522911,1.924279286,-11.57186521,0.96306136,1.36,2.25722,-5.853871964,486.30858127966,0.0492168678765625,2.6244,14.0267410863914,3.70285077052867,133.908064438408,0.92748718312505,1.8496,5.0950421284,34.2678169709052,0.0768849139302361,0.09817689,0.128616618,0.061569437,0.025,0.031021034,0.14,0.072382414,"100513A",4.772,0.761326322421457
"100621A",22.28454803,1.10720997,1.9,3.64164386,1.803457116,-9.804100348,0.94079321,0.27,2.3024,-4.677780705,496.601080901377,1.2259139176674,3.61,13.2615700030757,3.25245756925104,96.1203836336537,0.885091863982104,0.0729,5.30104576,21.8816323240703,0.0114965181711467,0.041282476,0.060455075,0.024177265,0.150679792,0,0.03,0.010178777,"100621A",0.542,0.188084373714938
"100704A",21.52730245,0.633468456,1.73,3.62503495,2.2955671,-10.35163999,1.01294211,1.29,2.11575,-5.22184875,463.424750773776,0.401282284747024,2.9929,13.1408783887215,5.26962831060241,107.156450482567,1.02605171821125,1.6641,4.4763980625,27.2677043678766,0.0511462884983093,0.04763446,0.053639373,0.01813996,0.01,0.014476483,0.06,0.020199743,"100704A",3.6,0.662757831681574
"100728A",21.52592288,0.707570176,1.18,4.03148606,2.297760511,-10.17587417,1.5588143,0.96,1.90402,-4.420216403,463.365355835707,0.500655553964671,1.3924,16.2528798519743,5.27970336591098,103.548415123673,2.42990202188449,0.9216,3.6252921604,19.5383130493503,0.0276692267863542,0.0760751,0.053762484,0.034265796,0.005,0,0.02,0.017031156,"100728A",1.567,0.409425868671443
"100814A",20.89608288,0.397940009,1.47,5.22729477,2.241795431,-11.49349497,1.76532941,1.1425,1.89414,-5.045757491,436.646279727829,0.15835625076292,2.1609,27.3246106124694,5.02564675445248,132.100426625415,3.11638792581095,1.30530625,3.5877663396,25.4596686579826,0.0235643330529017,0.04362636,0.035347138,0.084015169,0.01745135,0.009650988,0.04,0.034743559,"100814A",1.44,0.387389826338729
"100816A",21.34783526,1.037426498,0.73,3.97801299,0.462397998,-11.5559552,1.04455013,1.09,1.91138,-5.698970004,455.730070288099,1.07625373875254,0.5329,15.8245873486087,0.213811908554408,133.540100584407,1.09108497408302,1.1881,3.6533735044,32.4782591064918,0.0930248425840856,0.08674922,0.112014005,0.047175154,0.015,0.021714724,0.24,0.015937412,"100816A",0.804,0.256236533205923
"100901A",21.53188109,-0.096910013,1.52,4.91124,2.64246452,-11.34103516,1.50754,1.075,1.98285,-5.677780705,463.6219032739,0.00939155061966017,2.3104,24.1202783376,6.98261873945883,128.619078500356,2.2726768516,1.155625,3.9316941225,32.2371937340703,0.0223211438768381,0.0283,0.02425,0.036255,5e-04,0.062042069,0.21,0.10857362,"100901A",1.408,0.381656482585787
"100906A",21.96198081,1.004321374,1.78,3.94074768,2.058426024,-10.4698003,1.71220056,0.87,2.02817,-4.920818754,482.328601098808,1.00866142227325,3.1684,15.5294922774254,4.23711769628045,109.61671832188,2.93163075766431,0.7569,4.1134735489,24.2144572097181,0.00604043448603348,0.048743085,0.039933316,0.059340084,0,0,0.03,0.017199781,"100906A",1.727,0.43568513794163
"101219B",20.49692965,-0.22184875,1.56,4.42003952,1.531478917,-11.99567863,0.66918137,0.94,1.85684,-5.677780705,420.124125077049,0.0492168678765625,2.4336,19.5367493583618,2.34542767321549,143.896305794239,0.447803705955077,0.8836,3.4478547856,32.2371937340703,0.0692396240032236,0.089446275,0.166829365,0.039390628,0.105,0.082722758,0.16,0.217147241,"101219B",0.55,0.190331698170291
"110213A",21.56708403,0.204119983,1.83,3.84089,1.681241237,-9.896196279,1.8412,1.1905,1.96436,-5.229147988,465.139113557081,0.0416649674599203,3.3489,14.7524359921,2.82657209698929,97.9347007924934,3.39001744,1.41729025,3.8587102096,27.3439886804045,0.14476482742628,0.03588,0.023515,0.02785,0.226362665,0.029443694,0.12,0.162860431,"110213A",1.46,0.390935107103379
"110422A",22.02088312,1.487138375,0.86,3.50066971,1.413299764,-9.681936665,1.42239886,0.778,1.89199,-4.387216143,484.919293384701,2.21158054639764,0.7396,12.2546884185115,1.99741622292246,93.7398975850713,2.0232185169293,0.605284,3.5796261601,19.2476654853998,0.00950159657676303,0.024137407,0.029472713,0.022779716,0.005,0.010592548,0.1,0.0141464,"110422A",1.77,0.442479769064449
"110503A",21.13638759,0.130333768,0.88,2.54166555,1,-9.08249449,1.14649063,0.687,1.90907,-5,446.746880354706,0.0169868910810778,0.7744,6.4600637680568,1,82.4917061608804,1.3144407646778,0.471969,3.6445482649,25,0.147896600362852,0.028998071,0.028887961,0.006289914,0.001,0.017371779,0.25,0.019301977,"110503A",1.613,0.417139409727326
"110715A",22.0746007,1.731588765,1.25,2.61109719,1.113943352,-9.075720714,0.95853538,0.755,1.85342,-4.928117993,487.287996064441,2.99839965107422,1.5625,6.8178285356259,1.240869791465,82.3687064785287,0.918790074711744,0.570025,3.4351656964,24.2863469529303,0.133629071449258,0.02377653,0.035600881,0.009554076,0.0015,0.007360923,0.12,0.008863153,"110715A",0.82,0.260071387985075
"110731A",21.95954126,1.041392685,1.15,5.08952072,1.588831726,-12.08512818,1.42351927,0.39,1.85145,-5.22184875,482.221452349642,1.08449872437151,1.3225,25.9032211593093,2.52438625354414,146.05032312703,2.02640711206133,0.1521,3.4278671025,27.2677043678766,0.130539784388153,0.097418495,0.090702815,0.110855301,0.13,0.007238241,0.05,0.011844395,"110731A",2.83,0.583198773968623
"110808A",21.66176916,-0.397940009,2.32,4.50711,1.681241237,-12.08440021,0.807091,1.4,2.33721,-6.48148606,469.232243141127,0.15835625076292,5.3824,20.3140405521,2.82657209698929,146.032728435448,0.651395882281,1.96,5.4625505841,42.0096615459743,0.204728382319217,0.0837,0.155655,0.0776,0.025,0.105283511,0.43,0.217147241,"110808A",1.348,0.370698092575577
"110818A",22.06812647,0.204119983,1.58,3.84627415,2.012837225,-11.28316228,1.37167718,0.83,1.95985,-5.397940009,487.002205895915,0.0416649674599203,2.4964,14.7938248369582,4.0515136943457,127.309751036815,1.88149828613275,0.6889,3.8410120225,29.1377563407629,0.0761271870594219,0.05514905,0.059648416,0.067338189,0.01,0.021714724,0.11,0.081430215,"110818A",3.36,0.639486489268586
"111008A",22.17059025,0.806179974,1.86,3.98993393,1.802500068,-10.66756154,1.21584288,0.829,1.94053,-5.27572413,491.535072033395,0.649926150478641,3.4596,15.9195727657652,3.24900649514,113.796869209687,1.47827390884669,0.687241,3.7656566809,27.8332650958643,0.0161841207996628,0.028511085,0.035676696,0.027351291,0.001,0.024582707,0.09,0.047500959,"111008A",4.9898,0.777412321496744
"111123A",21.35034301,-0.045757491,1.68,4.42202873,2.462397998,-11.60730305,1.46723371,1.25,2.55463,-5.13667714,455.837146644656,0.00209374798261508,2.8224,19.5543380889454,6.06340390055441,134.729484094539,2.15277475976036,1.5625,6.5261344369,26.3854520405986,0.131921983937837,0.07308827,0.070655771,0.105884147,0.005,0.017847718,0.07,0.048254942,"111123A",3.1516,0.618215503279417
"111209A",21.14009932,-0.301029996,1.48,4.13326,2.505149978,-9.057000407,2.77382,0.2529,1.81212,-4.443697499,446.903799259465,0.09061905849176,2.1904,17.0838382276,6.2757764122734,82.0292563723982,7.6940773924,0.06395841,3.2837788944,19.7464474626189,0.0401068361866461,0.02099,0.010455,0.04435,5e-05,0.012063736,0.03,0.086858896,"111209A",0.677,0.224533062606086
"111228A",21.41342718,1.093421685,2.27,4.10627835,2.005180513,-10.65757732,1.15297662,0.99,2.03824,-5.070581074,458.534863593163,1.19557098122824,5.1529,16.8615218876787,4.02074888971494,113.583954331778,1.32935508626662,0.9801,4.1544222976,25.710792428007,0.023242060897345,0.030118345,0.037264425,0.023299272,0,0.010218694,0.06,0.017511874,"111228A",0.714,0.234010817587179
"120118B",21.451745,0.342422681,2.08,3.68307,1.36660971,-10.95467702,1.0241,1.01,2.20884,-5.744727495,460.177363545025,0.117253292463228,4.3264,13.5650046249,1.86762209946628,120.004948612516,1.04878081,1.0201,4.8789741456,33.001893991809,0.366834332492466,0.1172,0.131765,0.077156,0.005,0.024127471,0.11,0.059221975,"120118B",2.943,0.595826777073223
"120327A",22.16619025,0.591064607,1.52,3.48517215,1.798650645,-10.15181088,1.44859414,0.63,1.75797,-5.443697499,491.339990199195,0.349357369648064,2.3104,12.1464249151356,3.23514414275892,103.059264143286,2.09842498244234,0.3969,3.0904585209,29.6338424606189,0.051933835584684,0.04362492,0.051679097,0.058002882,0.02,0.012063736,0.06,0.022271512,"120327A",2.813,0.581266805273671
"120404A",21.70983536,0.079181246,1.85,3.79948,1.587710965,-11.02687215,1.90651,0.69,1.89579,-5.795880017,471.316951358306,0.00626966971811252,3.4225,14.4360482704,2.52082610838123,121.591909412446,3.6347803801,0.4761,3.5940197241,33.5922251714599,0.179553274179706,0.11705,0.068285,0.121385,0.005,0.027143405,0.13,0.072382414,"120404A",2.876,0.588383768378728
"120422A",20.54058972,-0.22184875,1.19,5.23266697,0.728353782,-12.73992861,0.86153199,1.1,2.32199,-6.638272164,421.91582604537,0.0492168678765625,1.4161,27.380803618929,0.530499231753704,162.305780987897,0.74223736979336,1.21,5.3916375601,44.0666573233372,0.181516258620399,0.11830242,0.217818621,0.214451933,0.035,0.075529475,0.24,0.144764827,"120422A",0.283,0.108226656374928
"120729A",21.34792103,0.462397998,1.62,3.52138487,1.854306042,-10.29756946,2.26312734,0.645,1.8831,-5.619788758,455.733732303116,0.213811908554408,2.6244,12.4001514026649,3.43845089739771,106.039936783525,5.12174535705548,0.416025,3.54606561,31.5820256845432,0.223182009707008,0.06906832,0.047294772,0.130088482,0.013331067,0.018095603,0.08,0.029951344,"120729A",0.8,0.255272505103306
"120802A",22.12127744,0.477121255,1.21,3.53838419,1.698970004,-11.17198494,0.54215516,0.91,2.03526,-5.721246399,489.350915577453,0.227644691972775,1.4641,12.520162676042,2.88649907449176,124.813247499587,0.293932217514626,0.8281,4.1422832676,32.7326603580705,0.2694762542188,0.07803221,0.220557212,0.11816229,0.055,0.068572813,0.47,0.028952965,"120802A",3.796,0.680879174426811
"120811C",21.91722026,0.612783857,1.4,3.15909591,1.428134794,-10.14327111,1.01613299,0.65,1.92121,-5.522878745,480.364543925354,0.375504055399796,1.96,9.97988696857873,2.03956898983342,102.885948810961,1.03252625336634,0.4225,3.6910478641,30.5021896319728,0.0598545187495629,0.05294686,0.084200302,0.03800099,0.090734018,0.043429448,0.3,0.021185097,"120811C",2.671,0.564784384503987
"120907A",21.0438101,0.462397998,1.73,3.2113827,1.227886705,-10.37675071,1.05329104,0.78,1.82021,-6.173925197,442.841943524862,0.213811908554408,2.9929,10.3129788458593,1.50770576031576,107.676955297485,1.10942201494428,0.6084,3.3131644441,38.1173523381515,0.035217186540104,0.04130341,0.062296694,0.028647271,0.005,0.071302079,0.25,0.059902687,"120907A",0.97,0.294466226161593
"120922A",21.0163605,0.301029996,1.58,3.59799,2.238046103,-10.59516628,1.06622,1.17,2.06954,-5.207608311,441.68740866596,0.09061905849176,2.4964,12.9455320401,5.00885035915349,112.257548500849,1.1368250884,1.3689,4.2829958116,27.1191843207963,0.075913913084108,0.16365,0.133375,0.03563,0.005,0.049033248,0.36,0.043429448,"120922A",3.1,0.612783856719735
"121024A",21.94617755,0.113943352,1.41,4.17178823,1.838849091,-11.31158018,1.30353551,0.87,2.00683,-5.958607315,481.634709056124,0.0129830874649959,1.9881,17.4038170359665,3.38136597947153,127.951846168569,1.69920482583096,0.7569,4.0273666489,35.5050011343715,0.201804932759115,0.063305895,0.065435085,0.06666149,0,0.039481317,0.22,0.066814536,"121024A",2.298,0.5182506513085
"121027A",22.07736427,0.113943352,1.82,5.40919042,1.796574333,-11.92081875,1.50995764,1.16,2.37144,-5.698970004,487.410013110273,0.0129830874649959,3.3124,29.2593409998198,3.22767933399439,142.105919670352,2.27997207459437,1.3456,5.6237276736,32.4782591064918,0.03343969322178,0.041584155,0.037953731,0.058939694,0,0.021714724,0.09,0.066814536,"121027A",1.773,0.442949869577862
"121128A",22.04029767,1.11058971,1.32,3.23392922,1.367355921,-9.617982957,1.54546584,0.9455,1.98504,-5.161150909,485.774721382207,1.23340950395788,1.7424,10.4582981999698,1.86966221469376,92.5055961611425,2.38846466260691,0.89397025,3.9403838016,26.6374787054715,0.0303933846890459,0.028690024,0.029795568,0.032445001,0.010337721,0.025176492,0.18,0.013466496,"121128A",2.2,0.505149978319906
"121211A",21.66138196,0,2.36,4.20933518,2.260071388,-11.2823295,1.15615612,0.95,2.0682,-5.886056648,469.215468417013,0,5.5696,17.7185026575856,5.10792267885625,127.29095894657,1.33669697381345,0.9025,4.27745124,34.645662863465,0.0937486856135703,0.054250775,0.063247159,0.074602829,0.005,0.089197405,0.26,0.130288345,"121211A",1.023,0.305995882770805
"130408A",20.06405721,0.69019608,1.28,3.58393,1.447158031,-10.32975415,1.39277,0.945,2.03183,-5.638272164,402.566391726153,0.476370628847366,1.6384,12.8445542449,2.0942663666878,106.703820799442,1.9398082729,0.893025,4.1283331489,31.7901129953372,0.202660966333188,0.077,0.070305,0.0643,0.117120218,0.075529475,0.26,0.088631527,"130408A",3.757,0.677333151419902
"130418A",21.12149747,-0.22184875,2.07,2.59006,2.07200023240372,-9.247183569,1.28449,0.198,1.68684,-5.744727495,446.117655375216,0.0492168678765625,4.2849,6.7084108036,4.29318496308105,85.5104039587836,1.6499145601,0.039204,2.8454291856,33.001893991809,0.169579312058568,0.06047,0.06867,0.031625,0.003,0.048254942,0.17,0.144764827,"130418A",1.218,0.345961541813141
"130420A",20.79265849,0.531478917,1.52,3.56731,2.091666958,-10.8728952,0.914676,1.17,2.29559,-5.148741651,432.334647081769,0.282469839215493,2.3104,12.7257006361,4.37507066318897,118.219850030183,0.836632184976,1.3689,5.2697334481,26.5095405887422,0.0412728533350444,0.05505,0.08535,0.0286905,0.005,0.018350471,0.25,0.025546734,"130420A",1.297,0.361160995195026
"130511A",21.01365445,0.113943352,1.35,2.65954,0.73479983,-10.51570016,1.16497,0.65,2.06879,-6.657577319,441.573673344005,0.0129830874649959,1.8225,7.0731530116,0.539930790168029,110.579949855024,1.3571551009,0.4225,4.2798920641,44.3233357584632,0.176931769551824,0.0838,0.089385,0.04916,0.01,0.078962633,0.31,0.066814536,"130511A",1.3033,0.362350507594848
"130514A",21.19799139,0.447158031,1.8,3.68772,2.309630167,-10.7212464,1.17745,0.65,2.0604,-5.040958608,449.354838970514,0.199950304687797,3.24,13.5992787984,5.33439150831645,114.945124369513,1.3863885025,0.4225,4.24524816,25.4112636875693,0.0272768817014167,0.078,0.078365,0.04188,0.08,0.009544934,0.05,0.046531552,"130514A",3.6,0.662757831681574
"130604A",21.35024026,-0.096910013,1.51,2.071571247,1.57634135,-8.316052869,1.742079764,0.98,2.08823,-5.853871964,455.832759159725,0.00939155061966017,2.2801,4.29140743139714,2.48485205171982,69.1567353200031,3.0348419041383,0.9604,4.3607045329,34.2678169709052,0.0525216608675702,0.166441725,0.100184013,0.041653571,0.015,0.031021034,0.12,0.10857362,"130604A",1.06,0.313867220369153
"130606A",20.24962877,0.414973348,1.52,3.30222,2.441820772,-10.18045606,1.37571,0.44,1.86465,-5.537602002,410.047465322812,0.172202879550329,2.3104,10.9046569284,5.96248868257068,103.641685589591,1.8925780041,0.1936,3.4769196225,30.6650359325544,0.0303226795160044,0.06815,0.07782,0.05186,0.045,0.029951344,0.12,0.033407268,"130606A",5.913,0.839666556882433
"130831A",21.66138196,1.133538908,1.93,3.31959,1.511883361,-9.89279003,1.28481,1.01,1.79449,-5.187086643,469.215468417013,1.28491045594983,3.7249,11.0196777681,2.28579129726866,97.8672945776674,1.6507367361,1.0201,3.2201943601,26.905867841989,0.0249128885159663,0.054815,0.089045,0.06727,0.009011148,0.001336291,0.05,0.019160051,"130831A",0.4791,0.16999753706657
"131030A",20.84178667,1.44870632,1.3,2.84594,1.613841822,-9.294136288,1.11188,0.693,2.09466,-4.537602002,434.38007159779,2.09875000160794,1.69,8.0993744836,2.60448542643628,86.3809693399184,1.2362771344,0.480249,4.3876005156,20.5898319285544,0.0427179076225292,0.025175,0.027575,0.00815,0.0075,0,0.03,0.010818724,"131030A",1.295,0.36078268987328
"131105A",21.32749584,0.544068044,1.45,3.9488,2.050379756,-10.91009489,1.19347,0.94,2.24976,-5.148741651,454.862078805217,0.296010036501986,2.1025,15.59302144,4.20405714381462,119.030170508804,1.4243706409,0.8836,5.0614200576,26.5095405887422,0.0158047698317659,0.03335,0.047885,0.04544,0.005,0.030584118,0.11,0.074450483,"131105A",1.686,0.429106008332697
"131117A",22.01669496,-0.15490196,2.1,2.87134,1.041392685,-10.838632,0.951056,0.86,2.15896,-6.602059991,484.734856961689,0.0239946172118416,4.41,8.2445933956,1.08449872437151,117.475943631424,0.904507515136,0.7396,4.6611082816,43.5871961247629,0.124850885316753,0.0823,0.12461,0.0362555,0.025,0.069487117,1.41,0.062042069,"131117A",4.042,0.702602841340427
"140206A",22.00531353,1.28780173,1.04,3.59073,1.971275849,-9.730487056,1.22509,0.672,1.88134,-4.795880017,484.233823553601,1.65843329579099,1.0816,12.8933419329,3.88592847285067,94.6823783469835,1.5008455081,0.451584,3.5394401956,23.0004651374599,0.063811704252879,0.012995,0.021325,0.015545,0.021902336,0.008143022,0.15,0.011193157,"140206A",2.73,0.571708831808688
"140213A",20.99187128,1.371067862,1.8,3.829176603,1.77815125,-10.12551818,1.108879519,0.83,1.96657,-4.920818754,440.658659836089,1.87982708220925,3.24,14.6625934569626,3.16182186787656,102.526118413511,1.22961378765767,0.6889,3.8673975649,24.2144572097181,0.0189868108841264,0.06303582,0.068643889,0.021746292,0.005,0,0.04,0.014784493,"140213A",1.2076,0.343920385393226
"140419A",22.04094236,0.69019608,1.21,3.68383,1.976349979,-10.00568285,1.36898,0.678,1.87322,-4.795880017,485.803140116842,0.476370628847366,1.4641,13.5706034689,3.9059592394933,100.113689294784,1.8741062404,0.459684,3.5089531684,23.0004651374599,0.0175057628798656,0.023985,0.02442,0.017885,0.001,0,0.04,0.017726305,"140419A",3.956,0.695131297704026
"140423A",21.81946365,0.322219295,1.33,3.90552,2.127104798,-10.85078089,1.18974,0.77,2.06486,-5.026872146,476.088993973671,0.103825274070297,1.7689,15.2530864704,4.52457482167462,117.739445922789,1.4154812676,0.5929,4.2636468196,25.2694435722306,0.0745819195938403,0.05035,0.05495,0.045115,0.149849463,0.013860462,0.06,0.041361379,"140423A",3.26,0.629409599102719
"140430A",21.67796993,0.397940009,2,4.14388,2.239549721,-11.36251027,0.875171,1.03,2.15785,-5.958607315,469.934380285984,0.15835625076292,4,17.1717414544,5.01558295283118,129.106639635855,0.765924279241,1.0609,4.6563166225,35.5050011343715,0.00923562857095551,0.0861,0.13071,0.0833725,0.035,0.078962633,0.22,0.034743559,"140430A",1.6,0.414973347970818
"140506A",21.81764402,1.037426498,1.68,3.30686,2.045714059,-9.903089987,0.948932,0.9,1.74751,-5.552841969,476.009590583442,1.07625373875254,2.8224,10.9353230596,4.18494601119025,98.0711912906197,0.900471940624,0.81,3.0537912001,30.8340539326878,0.0373575732732516,0.05516,0.06882,0.01557,0.047966029,0.046531552,0.16,0.035859177,"140506A",0.889,0.276231957921834
